budget_seconds,conclusion,equal_budget_estimate_pp,all_budget_estimate_pp,sign_reversal,boundary_tie
1,primary_listing_by_rule_did,0.0,-0.3797665216969712,False,True
1,wcl_minus_lbl_commutation_only,0.0,2.5360181747565345,False,True
1,wcl_minus_lbl_plus_templates,0.0,2.1562516530595635,False,True
1,random_minus_lbl_commutation_only,0.0,1.7962196557066952,False,True
1,random_minus_lbl_plus_templates,0.0,1.6686811835039983,False,True
10,primary_listing_by_rule_did,-0.4579612268568711,-0.3797665216969712,False,False
10,wcl_minus_lbl_commutation_only,3.3639194126857266,2.5360181747565345,False,False
10,wcl_minus_lbl_plus_templates,2.9059581858288555,2.1562516530595635,False,False
10,random_minus_lbl_commutation_only,2.4019993781668996,1.7962196557066952,False,False
10,random_minus_lbl_plus_templates,2.195135392795162,1.6686811835039983,False,False
30,primary_listing_by_rule_did,-0.576445741814625,-0.3797665216969712,False,False
30,wcl_minus_lbl_commutation_only,3.4045879297264157,2.5360181747565345,False,False
30,wcl_minus_lbl_plus_templates,2.8281421879117903,2.1562516530595635,False,False
30,random_minus_lbl_commutation_only,2.3773444442461047,1.7962196557066952,False,False
30,random_minus_lbl_plus_templates,2.1895470299431943,1.6686811835039983,False,False
120,primary_listing_by_rule_did,-0.4846591181163887,-0.3797665216969712,False,False
120,wcl_minus_lbl_commutation_only,3.375565356613995,2.5360181747565345,False,False
120,wcl_minus_lbl_plus_templates,2.8909062384976063,2.1562516530595635,False,False
120,random_minus_lbl_commutation_only,2.4055348004137764,1.7962196557066952,False,False
120,random_minus_lbl_plus_templates,2.2900423112776376,1.6686811835039983,False,False
