circuit_family,cells,oracle_best_mean_pp,random_listing_mean_pp,oracle_worst_mean_pp,best_minus_random_mean_pp,random_minus_worst_mean_pp
Adder,504,0.0,0.0,0.0,0.0,0.0
CNOT,72,75.0,75.0,75.0,0.0,0.0
GHZ,72,0.0,0.0,0.0,0.0,0.0
Grover,648,6.464248612692663,6.253873517466932,6.2270368837843355,0.2103750952257315,0.026836633682596686
HaarRandom,240,0.181950509461426,0.17709849587578813,0.17588549247937862,0.0048520135856378495,0.001213003396409497
HardwareEfficient,720,0.0,0.0,0.0,0.0,0.0
IQP,720,28.328418062788696,24.85784553781793,22.52846015229654,3.47057252497076,2.329385385521395
Oracle,1224,43.93386695378748,41.89234968709432,32.341259556842466,2.0415172666931602,9.551090130251852
QAOA,720,0.0,0.0,0.0,0.0,0.0
QFT,72,0.0,0.0,0.0,0.0,0.0
QuantumWalk,1440,6.299361795891535,6.12253972357881,6.012957316523508,0.17682207231272554,0.10958240705530237
RandomClifford,720,35.138730768243256,31.69351313798219,28.03902559476422,3.445217630261066,3.654487543217969
SurfaceCode,792,0.0,0.0,0.0,0.0,0.0
UCCSD_inspired,720,14.297120286504608,13.761106945170672,10.499671969946016,0.5360133413339345,3.261434975224658
VQE,720,0.0,0.0,0.0,0.0,0.0
