input_circuit_sha256,circuit_family,rule_set,budget_seconds,window_gates,LBL,RANDOM_TOPOLOGICAL,WCL,oracle_best_pp,oracle_worst_pp,random_listing_pp,best_minus_random_pp,random_minus_worst_pp,best_tie_count,worst_tie_count
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,10,16,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,10,64,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,30,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,30,16,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,30,64,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,120,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,120,16,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.2911208151382793,0.0,0.0,3,3
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,HaarRandom,COMMUTATION_PLUS_TEMPLATES,120,64,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,Oracle,COMMUTATION_ONLY,10,4,0.0,44.44444444444444,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,44.44444444444444,2,1
