optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.013084888458251953,E10_real_variance,QFT,5,9,5,1,142,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.0009806156158447266,E10_real_variance,QFT,5,9,5,1,142,15
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0010151863098144531,E10_real_variance,QFT,5,9,5,2,242,15
commutation_phase2,15,15,0.0,0.9999999999999987,True,0.0020117759704589844,E10_real_variance,QFT,5,9,5,2,242,15
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.013001203536987305,E10_real_variance,QFT,5,9,5,2,242,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.0019922256469726562,E10_real_variance,QFT,5,9,5,2,242,15
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0,E10_real_variance,QFT,5,9,5,3,342,15
commutation_phase2,15,15,0.0,0.9999999999999987,True,0.001010894775390625,E10_real_variance,QFT,5,9,5,3,342,15
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.012891530990600586,E10_real_variance,QFT,5,9,5,3,342,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.001402139663696289,E10_real_variance,QFT,5,9,5,3,342,15
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0006172657012939453,E10_real_variance,QFT,5,9,5,4,442,15
commutation_phase2,15,15,0.0,0.9999999999999987,True,0.0019998550415039062,E10_real_variance,QFT,5,9,5,4,442,15
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.013044118881225586,E10_real_variance,QFT,5,9,5,4,442,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.0009870529174804688,E10_real_variance,QFT,5,9,5,4,442,15
greedy_phase1,21,21,0.0,0.9999999999999996,True,0.0010001659393310547,E10_real_variance,QFT,6,11,6,0,42,21
commutation_phase2,21,21,0.0,0.9999999999999996,True,0.0029969215393066406,E10_real_variance,QFT,6,11,6,0,42,21
hybrid_phase1_2,21,21,0.0,0.9999999999999996,True,0.025995254516601562,E10_real_variance,QFT,6,11,6,0,42,21
template_phase2b,21,21,0.0,0.9999999999999996,True,0.0019974708557128906,E10_real_variance,QFT,6,11,6,0,42,21
