part,n_qubits,m_gates,proxy1,proxy2,t_proxy1_ms,t_proxy2_ms,t_pipeline_ms
A1_universal_proxy,5,50,0,0,0.33649999932094943,1.437400000213529,2.643499999976484
A1_universal_proxy,5,100,0,1,0.7329000000027008,4.436499999428634,22.118400000181282
A1_universal_proxy,5,200,0,4,1.450099998692167,7.309700000405428,58.7470000009489
A1_universal_proxy,5,400,0,10,2.8806999998778338,15.465500000573229,175.83469999954104
A1_universal_proxy,5,800,0,17,5.275800000163144,32.27159999914875,465.47479999935604
A1_universal_proxy,5,1600,0,34,10.72310000017751,64.55190000087896,1762.6984999988053
A2_cnot_chain_pipeline,6,40,20,0,,,1.5064999988680938
A2_cnot_chain_pipeline,6,80,40,0,,,2.0961000009265263
A2_cnot_chain_pipeline,6,160,80,0,,,4.583100000672857
A2_cnot_chain_pipeline,6,320,160,0,,,8.82160000037402
A2_cnot_chain_pipeline,6,640,320,0,,,16.531699999177363
A2_cnot_chain_pipeline,6,1280,640,0,,,44.609000000491505
