section,pass_name,compiler,metric,value,circuit_family
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,IQP
gap_analysis,N/A,N/A,our_best_reduction,0.5,Oracle
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.6,Oracle
gap_analysis,N/A,N/A,gap,0.09999999999999998,Oracle
gap_analysis,N/A,N/A,CC_reduction,0.32863408521303256,Oracle
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,Oracle
gap_analysis,N/A,N/A,gap_frac_CC,0.0,Oracle
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,Oracle
gap_analysis,N/A,N/A,gap_frac_unexplained,1.0,Oracle
gap_analysis,N/A,N/A,our_best_reduction,0.0,QAOA
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.0,QAOA
gap_analysis,N/A,N/A,gap,0.0,QAOA
gap_analysis,N/A,N/A,CC_reduction,0.0,QAOA
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,QAOA
gap_analysis,N/A,N/A,gap_frac_CC,0.0,QAOA
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,QAOA
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,QAOA
gap_analysis,N/A,N/A,our_best_reduction,0.0,QFT
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.0,QFT
gap_analysis,N/A,N/A,gap,0.0,QFT
gap_analysis,N/A,N/A,CC_reduction,0.0,QFT
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,QFT
gap_analysis,N/A,N/A,gap_frac_CC,0.0,QFT
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,QFT
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,QFT
gap_analysis,N/A,N/A,our_best_reduction,0.0,QuantumWalk
gap_analysis,N/A,N/A,qiskit_full_pipeline,-2.565217391304348,QuantumWalk
gap_analysis,N/A,N/A,gap,-2.565217391304348,QuantumWalk
gap_analysis,N/A,N/A,CC_reduction,0.0,QuantumWalk
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,QuantumWalk
gap_analysis,N/A,N/A,gap_frac_CC,0.0,QuantumWalk
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,QuantumWalk
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,QuantumWalk
gap_analysis,N/A,N/A,our_best_reduction,0.4,RandomClifford
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.92,RandomClifford
gap_analysis,N/A,N/A,gap,0.52,RandomClifford
gap_analysis,N/A,N/A,CC_reduction,0.2532419522875514,RandomClifford
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,RandomClifford
gap_analysis,N/A,N/A,gap_frac_CC,0.0,RandomClifford
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,RandomClifford
gap_analysis,N/A,N/A,gap_frac_unexplained,1.0,RandomClifford
gap_analysis,N/A,N/A,our_best_reduction,0.0,SurfaceCode
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.0,SurfaceCode
gap_analysis,N/A,N/A,gap,0.0,SurfaceCode
gap_analysis,N/A,N/A,CC_reduction,0.0,SurfaceCode
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,SurfaceCode
gap_analysis,N/A,N/A,gap_frac_CC,0.0,SurfaceCode
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,SurfaceCode
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,SurfaceCode
gap_analysis,N/A,N/A,our_best_reduction,0.0416666666666666,UCCSD
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.2574257425742574,UCCSD
gap_analysis,N/A,N/A,gap,0.21575907590759077,UCCSD
gap_analysis,N/A,N/A,CC_reduction,0.0,UCCSD
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,UCCSD
gap_analysis,N/A,N/A,gap_frac_CC,0.0,UCCSD
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,UCCSD
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,UCCSD
gap_analysis,N/A,N/A,our_best_reduction,0.0,VQE
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.409090909090909,VQE
gap_analysis,N/A,N/A,gap,0.409090909090909,VQE
gap_analysis,N/A,N/A,CC_reduction,0.0,VQE
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,VQE
gap_analysis,N/A,N/A,gap_frac_CC,0.0,VQE
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,VQE
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,VQE
