experiment,run_id,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040206,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0019145011901855469,3,2
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.00099945068359375,1,0
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0010013580322265625,1,0
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999983,exact,True,0.0011608600616455078,2,1
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999983,exact,True,0.0010006427764892578,2,1
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999983,exact,True,0.0009989738464355469,2,1
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0010018348693847656,3,2
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0009996891021728516,3,2
E27_new_families,e27_full_20260721_040206,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0009996891021728516,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.002002239227294922,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.002006053924560547,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0010006427764892578,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.00299835205078125,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.004001140594482422,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.0009961128234863281,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.0030012130737304688,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.0019981861114501953,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0010006427764892578,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.002000093460083008,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0029990673065185547,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0010061264038085938,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.0029990673065185547,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999982,exact,True,0.00391387939453125,2,1
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999957,exact,True,0.0009980201721191406,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999957,exact,True,0.003002166748046875,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,20,21,21,0.0,0.9999999999999957,exact,True,0.0019986629486083984,3,2
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,5,5,30,21,21,0.0,0.9999999999999982,exact,True,0.0010023117065429688,1,0
