n,original_gate_count_theory,thm9_rigorous_lower_bound,thm9_idealized_upper_bound,thm9_rigorous_pct,thm9_idealized_pct
2,8,0.15384615384615385,0.3333333333333333,15.384615384615385,33.33333333333333
3,11,0.17142857142857143,0.4444444444444444,17.142857142857142,44.44444444444444
4,14,0.18181818181818182,0.5,18.181818181818183,50.0
5,17,0.18867924528301888,0.5333333333333333,18.867924528301888,53.333333333333336
6,20,0.1935483870967742,0.5555555555555556,19.35483870967742,55.55555555555556
7,23,0.19718309859154928,0.5714285714285714,19.718309859154928,57.14285714285714
8,26,0.2,0.5833333333333334,20.0,58.333333333333336
9,29,0.20224719101123595,0.5925925925925926,20.224719101123593,59.25925925925925
10,32,0.20408163265306123,0.6,20.408163265306122,60.0
