schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,conversion_format,conversion_caveat,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.365733+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.004027605056762695,qiskit,transpiler,0,ok,native,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.369730+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.002999544143676758,qiskit,transpiler,1,ok,native,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.375731+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.00600123405456543,qiskit,transpiler,2,ok,native,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.386733+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.008981943130493164,qiskit,transpiler,3,ok,native,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.402730+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.002000093460083008,custom,greedy_phase1,none,ok,,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.403733+00:00,cnot_chain_3,CNOT,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0010020732879638672,custom,commutation_phase2,none,ok,,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.405734+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.0010008811950683594,custom,hybrid_phase1_2,none,ok,,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.412735+00:00,cnot_chain_3,CNOT,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.001997232437133789,qiskit,transpiler,0,ok,native,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.418732+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.004023313522338867,qiskit,transpiler,1,ok,native,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.426756+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.006001949310302734,qiskit,transpiler,2,ok,native,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.435738+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.0070018768310546875,qiskit,transpiler,3,ok,native,,42,2,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.449762+00:00,bv_3,Oracle,4,12,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0009980201721191406,custom,greedy_phase1,none,ok,,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.451762+00:00,bv_3,Oracle,4,12,10,0.16666666666666663,16.666666666666664,0.0,0.0,0.0,1.0,0.0019998550415039062,custom,commutation_phase2,none,ok,,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,060da1187b344c94fb6c3b6204ca7abdb676b30ab29942aba81ee6d150fd8568,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.455766+00:00,bv_3,Oracle,4,12,10,0.16666666666666663,16.666666666666664,0.0,0.0,0.0,1.0,0.0019829273223876953,custom,hybrid_phase1_2,none,ok,,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,060da1187b344c94fb6c3b6204ca7abdb676b30ab29942aba81ee6d150fd8568,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.459764+00:00,bv_3,Oracle,4,12,12,0.0,0.0,0.0,0.0,0.0,0.9999999999999974,0.001998424530029297,qiskit,transpiler,0,ok,native,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.466808+00:00,bv_3,Oracle,4,12,8,0.33333333333333337,33.333333333333336,0.33333333333333337,0.0,0.0,0.9999999999999979,0.005044698715209961,qiskit,transpiler,1,ok,native,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e8b5518512be3903d2d30e0f6c146fde952b3d2dace601dc76038efdff5172b5,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.476319+00:00,bv_3,Oracle,4,12,8,0.33333333333333337,33.333333333333336,0.33333333333333337,0.0,0.0,0.9999999999999979,0.006510019302368164,qiskit,transpiler,2,ok,native,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e8b5518512be3903d2d30e0f6c146fde952b3d2dace601dc76038efdff5172b5,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.485348+00:00,bv_3,Oracle,4,12,8,0.33333333333333337,33.333333333333336,0.33333333333333337,0.0,0.0,0.9999999999999979,0.008000612258911133,qiskit,transpiler,3,ok,native,,45,3,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,e8b5518512be3903d2d30e0f6c146fde952b3d2dace601dc76038efdff5172b5,
