input_circuit_sha256,circuit_id,circuit_family,successful_rows,unique_output_circuits
2305d8f3c5c816b9903c87f6b6aefe0e169f33ae47188898aac6fc16bdc0b91d,iqp_8,IQP,54,8
251f2e6bde8df1f5e9ec01838a8651a4178e7cd4f49748cd82510544d5869691,vqe_twolocal_8,VQE,54,2
264d1b73ac4524485965989504c9021bc175f53d087f673a4187e2e9d2d8234b,uccsd_4,UCCSD_inspired,54,3
272804f10f95ecb2895a565280f8594781730f41735af2d503194d428323e8a2,qwalk_6,QuantumWalk,54,9
27a0f06f7cc08a8cc737a4739dc368a6357264dac3917d9592477680c4557db2,clifford_4,RandomClifford,54,8
27c1cdf3eda94e12894f67e152b42d888e3e26b135a7921a2ff59c204f99788d,bv_8,Oracle,54,5
27de95acc938a43758948985fc9dc86e4a392285121eaca84e3a9c40bceb4e31,qaoa_line_4,QAOA,54,2
28bfaeeecb293e1f876f9558f967228672ed62c635b047fed680c0fd03f9b918,clifford_6,RandomClifford,54,7
28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,clifford_8,RandomClifford,54,6
2a80f64340c58306fb04a784ab1f93b8bc47dddf3b2084721a18783df59e4275,haar_4,HaarRandom,54,6
2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,bv_3,Oracle,54,5
2b75895aa27cbc6b06ca489c63a0acceb9af896130529bb5c000766f1e53267c,clifford_8,RandomClifford,54,12
2bc3bac3e16a924e0b659e514bdadb24402dd25bb43047e6292e84d6f96ed9cf,adder_6,Adder,54,3
2bee44a161fa6c431fbd0ee8af1ba0d00e29dddddd1803be82a2bf7ca95465b8,grover_6,Grover,54,6
2c4eabb9f48c4ae3c75c74a5d4378f67f7d301aceb9b8651680f3c6aa91a6477,adder_6,Adder,54,3
2c84ea80bde7fac580d458a541d4e4690eaff27a501e95e6eb5ade7c80642293,qaoa_line_6,QAOA,54,2
2d043f6785f08c83f853dfb793626cfb8e1e5c2265f0d61dc52cab5049ee4b4d,vqe_twolocal_8,VQE,54,2
2d4868c22c53a34ba2e5046296f2ed6dd8a3b0bac61263a35b7a2fc4521fef18,clifford_6,RandomClifford,54,10
2d71c39b26582071bf61dcf0fd75c33b46d5626b7983e36e786fa74e823155c6,iqp_8,IQP,54,11
2da0675bcf3b7abb3d5daf9177c5c708714eb652339263c60ffc5cfc077ab523,grover_6,Grover,54,6
3113b971b548c7ee4e78af92d32b392c5bfcc30e701ff59f7420abc819314785,qaoa_line_6,QAOA,54,2
326af35614abc61489f1ad4018e0d4e3dedd5328f5de7283c2efd6199cf76236,hardware_eff_8,HardwareEfficient,54,3
327b728c1ca9b595df52e9004e38fd5c2c86f6df6d8c5681d21e504efae558cc,uccsd_8,UCCSD_inspired,54,5
329b15531e8ae55e3c8668f2b78d9dbb4532f68f6c3aa4cb36f07012787c1a07,hardware_eff_4,HardwareEfficient,54,3
32c9e772774deff17d4b957250f4893cf8bc7cbe5983475de6b326cdc1ece616,hardware_eff_4,HardwareEfficient,54,3
337a3eaa7a1c3a0e02cc2a645e6f2877a665d33c46c1b9ffe66b69734d333bd6,iqp_6,IQP,54,6
3423136e859fa215b3b360e805aaa1303009ced372beda3ec71687a13e80c4b6,qwalk_4,QuantumWalk,54,6
34ac6807a367e4649c549bb7e5379b105efee316f5ac8c12566d937750d6a8fa,bv_8,Oracle,54,8
350c8060ffd6c0e538db61490c774b4be2c7b6e47f358cfe7277cbb05914efda,vqe_twolocal_6,VQE,54,2
351812e2422dea6a191df1adc81100a4fd431345cee8a8a72b1f7b04de1a0395,bv_5,Oracle,54,4
376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,adder_3,Adder,54,1
37cdb70bdc0a40384c6a1a0824df270d7d181388d831d4788c2d190a5106be0d,qwalk_8,QuantumWalk,0,0
380136ad69bebfc3d05fdf4d7fab225d1325b53da9391f41c26a567f88a08608,qwalk_6,QuantumWalk,54,9
389bf6f7858d6a53b8763831df2427cec2bb16be06630b7211a9f557a2dfcd75,qwalk_4,QuantumWalk,54,6
38fb79c22e616a17ca079d6ac91f1593bb639b1c9cdc24b819719a203860bb1c,haar_4,HaarRandom,54,6
3aae783a820f49c9540e519d2e0530dfc7772f6fca9d6281bb75cb295af6f03e,surface_code_6,SurfaceCode,54,2
3aee8fb917c05afbe6186cad1160779a632dee4212db5acd705c807383e6b682,adder_6,Adder,54,3
3caaac792211b208d26d1723c5c6222b514fd3fec82d2da780fcda89e7b16a2e,uccsd_6,UCCSD_inspired,54,4
3cb9f2651afb8f2f779991fabaa51b5b5213c87aadc3075b406a14441a8d4cdd,clifford_8,RandomClifford,54,16
3d81f170b70b37bcf04340d03252bc648978848cc80013b68533b757c45bbf0b,qwalk_5,QuantumWalk,54,9
3ddeba643cb1262108f3aa16deb98fff7a1b48b89c7248b1fb063953fca055c7,clifford_4,RandomClifford,54,6
3e0c8afaa2c7ac511c66cdc6f54a4f59ecec9d97e00b3f1ed0997592613b2ff4,vqe_twolocal_8,VQE,54,2
3e53f339ce23bcd55c9745a7e473937d8df2b36146b0e3872cd78980fcbfe035,iqp_6,IQP,54,6
3f042fa9b9dbce7185f41afba08f1499752dc0e6949614c29d69df95229d96bd,surface_code_6,SurfaceCode,54,1
3fb029699c8404b78c36d862792e62b0892de0e1c100f0d29978e2b9ce549abd,bv_3,Oracle,54,6
400ce4e70469d8d27ab3ac5495866397a68ae2ee6ba481d37cd7f7e03df762d3,iqp_6,IQP,54,6
4035c390bb35bd7735df397046c84d406ef79095dfe0cf931033a80c28b17459,grover_4,Grover,54,4
4089615b62e2dc0c0b1b7723660abedb66020a4036e6d847a938a772d0d6172b,qaoa_line_4,QAOA,54,2
40b2ed79783ce1a4b95b1d1ef139d1741d958ea40b9841f763ef32f8f0761c21,qwalk_3,QuantumWalk,54,5
40b8a20d828582d60cc0a21652298c67f1af38c18b2ccf8811937d13a9714a38,iqp_8,IQP,54,12
411fb287ad09f5ba59dc8928c41c7d63890830c6fb4a8d8bbc17d6aa448f59f5,iqp_6,IQP,54,6
41691b11f094e6d0a2948bdb40851a9dc8a1792a04c3badae293f622ddbf18c3,grover_6,Grover,54,6
4272cac3e6706df983c44985b044af11779366997597cd338541fc66ccef446f,bv_5,Oracle,54,4
437020e3b14d16381ddae29b4c8219401888281530fe7a429e0e50cdf87b176c,adder_8,Adder,54,3
439cf4a4745745332319327dc1b01075748fee45c1a0f2e6280ba8e9fbbe0487,surface_code_7,SurfaceCode,54,2
43bca13faef5c6cfe77a9608604ef4b0638bd1866f694ba91570d8417f61f6dc,hardware_eff_8,HardwareEfficient,53,3
4572941712e8aea150c8fa425b7e51001a6c0edaee560e513ec57c86bf5900af,hardware_eff_8,HardwareEfficient,54,3
4621ef48fbfa81d505e50e099d2d9bb268c3bcebb00ba5aac807e68b83d47cc6,bv_4,Oracle,54,5
469f3c49f6eef6fbc27961be39affa9dd7a346b81fe5a14dbe7113d65cab2cb2,iqp_6,IQP,54,9
46b9db66decc06088531b47b8ebb2df981fb151806949067077d84375b800a37,grover_4,Grover,54,4
48b1b2262a81838842891d34d28e8bb95c6ab5d240dc058f0b6299173c5a36fe,grover_8,Grover,54,6
4914698abc41ccf5c102d58cea869a0486728ed0832f0910ccf6c1306d1b49b0,bv_8,Oracle,54,5
495bef64d81542b62d65ea7f3ea2f68c15fd96f817571830c26016e760cb0b20,surface_code_7,SurfaceCode,54,1
49e4535dd05722cfe2cfda0d59fcc03e485eca61c04e97f3b303a014d4a4357b,hardware_eff_8,HardwareEfficient,54,3
4ac2702c1b96c4bb94104c83ed1f70861d0f3fced7f279ffff33418db3943556,iqp_4,IQP,54,6
4c91554a6a7a29ac388f41e86df4db15dc97853874c7d6e7defca805db616d06,vqe_twolocal_6,VQE,54,2
4cb477caf5f46aa76b3f54b03574649768b408906ee78ac4652943020cb7be7c,vqe_twolocal_8,VQE,54,2
4f0c8b34713d2fca63f5142fe0549056f4fe97f079b14a9139a45918778858fe,qaoa_line_6,QAOA,54,2
4fd56a4aef3db179df3c4a37d4ed820b90cc557115cd93951084f3d6b478ad8a,uccsd_8,UCCSD_inspired,54,4
50abdffe4514c651d5af9c7e16d8dce45ce300d5b27272614d921ca65abaa9e7,grover_6,Grover,54,5
50acc8cca2f23db161ca0e99de8435635242080dcd80d6ee45c483913667385d,surface_code_6,SurfaceCode,54,1
50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,bv_7,Oracle,54,4
50b8786b19b903fee03c7d549eeadd02f826e61a98ec20ccfe13816a21e87930,grover_8,Grover,54,8
50bbfd9444a3a7981af5bef5ec6064a7c26b4cc07f48e50d38a5bd018f876bda,clifford_8,RandomClifford,54,12
50d40ab13a27632abb0016ec2e9af6972f0134cee65529429f585010b7f83a33,clifford_8,RandomClifford,54,10
50d9a47ee18d2e3012d55867372cff942253cf0f5194a46210afdf68c5391777,bv_4,Oracle,54,6
52fa838edc0ec27d2776b0f16823e23c9dd0d9fcbc80dde3c63633de21d71851,surface_code_7,SurfaceCode,54,1
53b73b5cd49bf304f89e5343449a253cb9005287952a8e3fd40f0f4538bd6356,vqe_twolocal_4,VQE,54,2
54081630416519b0c77bbd353bb5998e32c8ddc6917cc148e526826f6f6debc6,qwalk_8,QuantumWalk,0,0
5562a10a2385796690312a16c52884a150b99c123c39cb6b12089a46cad0a542,hardware_eff_4,HardwareEfficient,54,3
5644fee5bd8328c655b27bf4202f33cb49d6ff723364d466a3a1421f12c14466,hardware_eff_6,HardwareEfficient,54,3
566d2d8e6e0997a8b51a95c78b1f3ed52607b20964f2c0ae7de1115cada224ab,bv_7,Oracle,54,6
569144f1f4ed5900a4ee35afd5c24a98a42de6ce3c141773dc514b4ea44405f4,uccsd_4,UCCSD_inspired,54,3
5713a5dbe3be0670eb39317ac7b841739b453b10c8966fa6018e22c62466cb23,qaoa_line_8,QAOA,54,2
572ced8466222c9cce73f7c74264b2354fd93bd719eafb0290bc144dcb80224f,uccsd_6,UCCSD_inspired,54,5
587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,ghz_8,GHZ,54,1
599763794bd11a8ee3fb857551c69c3afd29964ebeb7ee6c9a144ee61a7e51c3,qwalk_4,QuantumWalk,54,6
59b729dbea5b2457f083d3577ed253a3b4f24dfc11f1e185af454468b65fb400,clifford_4,RandomClifford,54,7
59fbafb4a84f6e3bf7095d58daa93081c2109f6d48baaa6615d62eb5baec28bb,vqe_twolocal_4,VQE,54,2
5a934ea58cefe89266217b8814d0f05d97ee7364560c39b14857c236af49988b,qwalk_5,QuantumWalk,54,9
5b1e86584da3b6e4065a29ec23dcba8ca2e23b69da2d3d2debdbc7a05920c733,qwalk_4,QuantumWalk,54,6
5b2a31e79d9fc799bfce71b0e4edb7e81603780d93caa25247f243bb4205dfc2,iqp_8,IQP,54,8
5b48e826e65152b0af21cba70e11371c1b074a0c9c1e146e88104ebda8da7f44,qwalk_8,QuantumWalk,0,0
5c672ebce573529c490baac76666f3d7035c91d1a2552a4c883752c77353c5da,qaoa_line_4,QAOA,54,2
5d1c48263acc18a36d062c98661594cfac7e4418c02437f7200168f655d79429,bv_7,Oracle,54,7
5d82d980193b330314da27f4c315ba0460259d09cae3ee69bfb5598f13a62ac8,vqe_twolocal_8,VQE,54,2
5e374d2d9df7152707d5a3b917c5572905ce53bc378306ed7da8919f036c289d,hardware_eff_4,HardwareEfficient,54,3
5ead28e37038eedb416b5fe421b9e506b37e9503475ca2360ad0cdb94409277f,qwalk_3,QuantumWalk,54,5
5eaf1f2b9f33724492a3e71d4e8ceaefbf99cfd60c760cd93842c60ec7375ec3,vqe_twolocal_6,VQE,54,2
