semantic_cell_id,input_circuit_sha256,listing_model,rule_set,window_gates,successful_budget_count,formal_success_rows_bound,qpy_sha256,declared_qubits,ancilla_qubits,active_qubits_static,logical_gate_count,logical_depth,multi_qubit_gate_count,two_qubit_gate_count,measurement_count,reset_count,swap_count,toffoli_ccz_count,logical_t_tdg_count,two_qubit_depth,logical_t_tdg_layer_depth,interaction_graph_pair_edges,interaction_graph_density,contains_non_clifford_t_operations
a1e8bff9406c060ab97d2aa572f38c502eb5bbc27e8587f8d08c0d868d1c0f0d,a8db7c393892d2adec545708e5f0d633c2a3a558227f079b35365b5a62cf7950,LBL,COMMUTATION_ONLY,4,3,3,0b8870857152d4d9b95c1f406bab015be66e0abb68634e70c672572baa9fb169,8,0,8,20,6,2,2,0,0,0,0,0,2,0,2,0.07142857142857142,False
a1e9d73190c7cfaaff7a2d21e84cf648c6aa1b081f13d65e916aba7566a4715d,3cb9f2651afb8f2f779991fabaa51b5b5213c87aadc3075b406a14441a8d4cdd,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,3,3,cecfbff4f08b2672d8b383e62078bc5a58a13bc2e6f76dfa62bc4bc2266aa81b,8,0,8,35,12,7,7,0,0,0,0,0,4,0,5,0.17857142857142858,False
a1f9f59863fc7dee8132ce8ccfb664d2332975c732359167d5cc1bd8797a4451,cc1ddd28093a20372a6d256992968b8bc18e2829750947498955a406113f5f52,LBL,COMMUTATION_PLUS_TEMPLATES,64,3,3,72502df0b082ae4be076286204fa4a28b26e5aa279c620c91fc29ec5945781dc,4,0,4,82,59,28,28,0,0,0,0,0,28,0,6,1.0,True
a204d06af95728b840f523ba013bd3e61af33c26856a959a41e5786e2ef439e0,50d40ab13a27632abb0016ec2e9af6972f0134cee65529429f585010b7f83a33,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,3,3,386c851196997c8996fb439249dfa1a1c2f7324c70efd38d3bf908c902e9641b,8,0,8,44,11,6,6,0,0,0,0,0,4,0,3,0.10714285714285714,False
a21022e3656b2944c3a82d8d7238bd0548b50bd694a12e526114e4247a4973c1,d3b5ace1ffcfa1395fa7475de82da131003d95cdf3358f349d791df72f45b4ae,LBL,COMMUTATION_ONLY,16,3,3,7b8162b7b45d3a22c2f541a3a4a4811f81930eb329504679756e68eff468b5b3,9,0,9,27,11,7,7,0,0,0,0,0,7,0,7,0.19444444444444445,False
a2130cc382f464f8e4217de23bca13998c1e8f9864b82b7fa52fb17be96ca420,98288a8bb24c6c4e673cdd1a4153610759a5259eab1700308a6bb0e7520a1d09,LBL,COMMUTATION_ONLY,4,3,3,d3da0e1649542603d17dcd287e31af1a86c587d1e4de4e983484e2df7203c226,4,0,4,30,18,12,12,0,0,0,0,0,10,0,3,0.5,True
a218f34a5bbea5ef01274573dbcf82c832d5a6157f1cbcd4f39f3e0c13be318d,0cdd5a16e73c23ba58925f4d39695d1266fd02932361888693ce1d5d922fd6ce,WCL,COMMUTATION_ONLY,64,3,3,ddda191bac621b1b68cfbfee5806378fcf3b2cc27268c51787a618135908a1de,4,0,4,7,6,5,2,0,0,0,3,0,2,0,6,1.0,True
a229525a37c74bd1017e1d74215f4e51319ed918dea29645aaebf31aaa900ac6,a184604fe8e9fff65d7fc4b04a0374176884155f49835fc64a3e78eeea2e3335,WCL,COMMUTATION_PLUS_TEMPLATES,16,3,3,686a08d481b67a5919069ae2e76a58379560845610de057d99406672f27c7dbd,4,0,4,12,3,0,0,0,0,0,0,0,0,0,0,0.0,True
a2296fcff083774953ae2b60e6465e86a50b88cb98e3747cce72668a54c38e84,d47fbcf86d26708129ff7ec50334223b04f3b91344825d19f2600cab1a7800c0,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,3,3,6780d8c04adbf92c172ad8fe081d13bf519861377604ff81e66c73968f6f1db0,8,0,8,44,9,3,3,0,0,0,0,0,2,0,2,0.07142857142857142,False
a233351505f35f7bb6849b7c6d59eb0f389e2bc6d1273c4053da6921493b2760,c5d3cc7e27224a7f0435dbe10fc8c046011f5e3b58eea6c57431181a4bcbcb20,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,4,3,3,01b4967891657150b745a2b1f70c177c84b8792ac8edc1350502a663d55a2cc8,7,0,7,3782,2615,1590,1584,0,0,0,6,762,1242,474,21,1.0,True
a236397abc9d15967307382a2fa562f847820943ecdd83cb5caed52eb79330ae,2bc3bac3e16a924e0b659e514bdadb24402dd25bb43047e6292e84d6f96ed9cf,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,3,3,1d9c6d6e65356e4f9b0aaca6c1b279a322f8039ca40e256e2e0e7cd720b22ac2,7,0,7,11,8,10,4,0,0,0,6,0,2,0,12,0.5714285714285714,True
a23bba07d8ef85835a14c459fcc5e42d73f1f25a9e144743587701378809cac2,3caaac792211b208d26d1723c5c6222b514fd3fec82d2da780fcda89e7b16a2e,WCL,COMMUTATION_ONLY,64,3,3,e28ff952254ade24044638d3b5ed413fda28793d26456dc3488595a50b9ef6b2,6,0,6,52,26,29,29,0,0,0,0,0,16,0,11,0.7333333333333333,True
a2535464a4d33c94d2b756e3d3a23daf87cbf3e33c28821a50ec128525859169,15085463bb9acfc3d3c2fcc7416945689cf8dbdf38ee63960843c17c716d519e,LBL,COMMUTATION_PLUS_TEMPLATES,64,3,3,17eddd0b959a7840a29c439eabaf34d5759fc776e7731c8e4d99d4b729027a4b,9,0,9,13,10,8,8,0,0,0,0,0,8,0,8,0.2222222222222222,False
a25aa2cadde61de33f8b5c2df63b1e5d69cbb7e428ac6f18b27aad035aa62e56,9d28cb9bb42a70f9fa00e7efba94348562efdd144be3a7aef8382f0ab9e0b925,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,3,3,d44aadc8e4ac63f2ac964f7f5ad2be2dd68234dfcc981b81b9415015fa72d877,6,0,5,6,6,4,4,0,0,0,0,0,4,0,4,0.26666666666666666,False
a2685c48b543e500af10870aa49b1a9fc607bce0ea202ced46f0152d1c3e43f6,5644fee5bd8328c655b27bf4202f33cb49d6ff723364d466a3a1421f12c14466,WCL,COMMUTATION_ONLY,16,3,3,0565ce32c0b24196cc91f9378dd766a08f64abbe04d12310b6b763fbc09966c1,6,0,6,34,8,10,10,0,0,0,0,0,4,0,5,0.3333333333333333,True
a26d6845295627a6ee6f8b3a1e7b9f13ec6ef7c075b45dd97c6838a8eef53947,c03a59f09d1814f61e8886ce6c504c04c0bf89965ff911746bb96e21e9cd570c,LBL,COMMUTATION_ONLY,4,3,3,63e818a5e93a5c4002befe84c037b4393c4d70408ce1d85100324cba9b44e901,8,0,8,11,9,7,7,0,0,0,0,0,7,0,7,0.25,False
a2946665cc1fbe9617d066e7f1fc908a50405e03295565e0b3c52acf6bb70373,264d1b73ac4524485965989504c9021bc175f53d087f673a4187e2e9d2d8234b,LBL,COMMUTATION_PLUS_TEMPLATES,4,3,3,f2636ad3924f518e2787105bdef449f09b4e58a64c1ca55a125c72d29dd1c91b,4,0,4,26,15,14,14,0,0,0,0,0,9,0,5,0.8333333333333334,True
