schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,n_qubits,gate_set,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,t_count_reduction,baseline_t_count,optimized_t_count,fidelity,success,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,status,error_message,error_type
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:45.495963+00:00,bv_3,Oracle,bernstein_vazirani,4,clifford_t,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,commutation_phase2,45,3,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:45.499478+00:00,bv_3,Oracle,bernstein_vazirani,4,clifford_t,12,10,0.1666666666666666,16.666666666666664,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0020098686218261,hybrid_phase1_2,45,3,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,5941010b9ed8c2ea75e132a06f7b720f097313b833dbb8fbbb4ba7913f8aaa46,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.204363+00:00,grover_3,Grover,grover,3,clifford_t,51,43,0.1568627450980392,15.68627450980392,0.1379310344827586,0.0,0.0,0.0,14,14,0.999999999999994,True,0.0115110874176025,greedy_phase1,445,7,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,ed3577d2a227a9efbad84684b95ec56b0d78ce0a931f078dfa8f339924959a43,ee4e4701e32ed47ac31f6f93124ca096436d5187fec2e859ee5c5e99ac982c94,"Single Grover iteration, random marked state",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.215274+00:00,grover_3,Grover,grover,3,clifford_t,51,47,0.0784313725490196,7.843137254901967,0.1379310344827586,0.0,0.0,0.0,14,14,0.9999999999999932,True,0.010911226272583,commutation_phase2,445,7,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,ed3577d2a227a9efbad84684b95ec56b0d78ce0a931f078dfa8f339924959a43,bd01973ad7d75c64352726c824c5ba8dea6f1765beeb074d3c99bda0ff9f3e99,"Single Grover iteration, random marked state",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.215274+00:00,grover_3,Grover,grover,3,clifford_t,51,43,0.1568627450980392,15.68627450980392,0.1379310344827586,0.0,0.0,0.0,14,14,0.999999999999994,True,0.0,hybrid_phase1_2,445,7,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,ed3577d2a227a9efbad84684b95ec56b0d78ce0a931f078dfa8f339924959a43,ee4e4701e32ed47ac31f6f93124ca096436d5187fec2e859ee5c5e99ac982c94,"Single Grover iteration, random marked state",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.246573+00:00,adder_3,Adder,quantum_adder,4,clifford_t,48,44,0.0833333333333333,8.333333333333337,0.0606060606060605,0.0,0.0,0.0,21,21,0.9999999999999956,True,0.0100045204162597,greedy_phase1,545,8,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,fdd13d234902a7bc3e141cdffa2d197c33f15ec2101d43cdaceae1b8da06df3f,941eecbc2a0b466e9b61b2c6c081e6e3f57c268edad015b8c112c009841c2909,"Ripple-carry adder, random inputs",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.248362+00:00,adder_3,Adder,quantum_adder,4,clifford_t,48,48,0.0,0.0,0.0,0.0,0.0,0.0,21,21,1.0,True,0.0007545948028564,commutation_phase2,545,8,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,fdd13d234902a7bc3e141cdffa2d197c33f15ec2101d43cdaceae1b8da06df3f,fdd13d234902a7bc3e141cdffa2d197c33f15ec2101d43cdaceae1b8da06df3f,"Ripple-carry adder, random inputs",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.259608+00:00,adder_3,Adder,quantum_adder,4,clifford_t,48,44,0.0833333333333333,8.333333333333337,0.0606060606060605,0.0,0.0,0.0,21,21,0.9999999999999956,True,0.0105559825897216,hybrid_phase1_2,545,8,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,fdd13d234902a7bc3e141cdffa2d197c33f15ec2101d43cdaceae1b8da06df3f,941eecbc2a0b466e9b61b2c6c081e6e3f57c268edad015b8c112c009841c2909,"Ripple-carry adder, random inputs",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.373224+00:00,iqp_3,IQP,iqp,3,clifford_t,21,15,0.2857142857142857,28.57142857142857,0.0,0.0,0.0,0.0,3,3,0.9999999999999976,True,0.0,greedy_phase1,745,10,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,5e29332c13b30f1be8d590f7175b755682a66b8f48d190258c620591da5c08a5,7d16f02f5af0f70906df1ce41d8e1354c632ad49ca43e73c0f8a8239733bb5a9,"IQP circuit, 3 diagonal layers",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.373224+00:00,iqp_3,IQP,iqp,3,clifford_t,21,21,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,True,0.0,commutation_phase2,745,10,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,5e29332c13b30f1be8d590f7175b755682a66b8f48d190258c620591da5c08a5,5e29332c13b30f1be8d590f7175b755682a66b8f48d190258c620591da5c08a5,"IQP circuit, 3 diagonal layers",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.373224+00:00,iqp_3,IQP,iqp,3,clifford_t,21,15,0.2857142857142857,28.57142857142857,0.0,0.0,0.0,0.0,3,3,0.9999999999999976,True,0.0,hybrid_phase1_2,745,10,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,5e29332c13b30f1be8d590f7175b755682a66b8f48d190258c620591da5c08a5,7d16f02f5af0f70906df1ce41d8e1354c632ad49ca43e73c0f8a8239733bb5a9,"IQP circuit, 3 diagonal layers",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:46.394668+00:00,clifford_3,RandomClifford,random_clifford,3,clifford_t,25,15,0.4,40.0,0.3333333333333333,0.5,0.5,0.0,0,0,1.0,True,0.0,greedy_phase1,845,11,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,1770f366bb6f8e3d4b616e53ce190ff9d1cac1b5f5c180a3f7902b0bf9cdeb58,d0090de2fa402f14169c4b60268831993c2cd688b1cedd8f564e1a7e8a9ca9df,"Random Clifford, depth=10",ok,,
