schema_version,experiment_id,run_id,timestamp_utc,mode,n_qubits,depth,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,runtime_seconds,success
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.605945+00:00,full,5,1,13,42000113,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999991,0.0009984970092773438,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.606947+00:00,full,5,1,13,42000113,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999991,0.0010025501251220703,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.608948+00:00,full,5,1,14,42000114,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0009996891021728516,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.609947+00:00,full,5,1,14,42000114,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.00099945068359375,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.610947+00:00,full,5,1,15,42000115,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0010001659393310547,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.611948+00:00,full,5,1,15,42000115,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0010004043579101562,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.613955+00:00,full,5,1,16,42000116,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0010073184967041016,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.615956+00:00,full,5,1,16,42000116,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0020012855529785156,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.616982+00:00,full,5,1,17,42000117,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.001026153564453125,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.617967+00:00,full,5,1,17,42000117,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0009846687316894531,True
