schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.519657+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.005195140838623047,qiskit,transpiler,0,ok,42,1,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.527995+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0077936649322509766,qiskit,transpiler,1,ok,42,1,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.543958+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.012808084487915039,qiskit,transpiler,2,ok,42,1,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.558203+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.012738227844238281,qiskit,transpiler,3,ok,42,1,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.562121+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.0019183158874511719,custom,greedy_phase1,none,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.570367+00:00,cnot_chain_3,CNOT,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.007210969924926758,custom,commutation_phase2,none,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.579992+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.00905609130859375,custom,hybrid_phase1_2,none,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.589148+00:00,cnot_chain_3,CNOT,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.004311323165893555,qiskit,transpiler,0,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.601622+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.008126020431518555,qiskit,transpiler,1,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.618140+00:00,cnot_chain_3,CNOT,3,16,0,1.0,100.0,1.0,1.0,1.0,1.0,0.012820959091186523,qiskit,transpiler,2,ok,42,2,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
