workers,tasks,batch_wall_seconds,throughput_tasks_per_second,median_task_process_wall_seconds,peak_task_rss_mb,output_hash_set_sha256
1,8,34.0049485999989,0.23525987626401704,4.2442415000041365,145.15625,71502a0ae533d94590e56df72e615f610af1d060be4e4e02b9de0b3acb841b8e
2,8,20.423898699998972,0.39169798663368827,4.940571099999943,144.96875,71502a0ae533d94590e56df72e615f610af1d060be4e4e02b9de0b3acb841b8e
4,8,15.002473699998518,0.5332453940579672,7.415999649998412,145.06640625,71502a0ae533d94590e56df72e615f610af1d060be4e4e02b9de0b3acb841b8e
