budget_seconds,rows,success_rows,validity_rate,validity_cluster_bootstrap_ci95_low,validity_cluster_bootstrap_ci95_high,mean_wall_seconds_end_to_end,median_wall_seconds_end_to_end,p95_wall_seconds_end_to_end,itt_mean_reduction_pp,itt_reduction_cluster_bootstrap_ci95_low_pp,itt_reduction_cluster_bootstrap_ci95_high_pp,pareto_nondominated
1,7038,0,0.0,0.0,0.0,1.0423566632139767,1.0432623499996225,1.0575316099999328,0.0,0.0,0.0,True
10,7038,6658,0.9460073884626314,0.9215615231599887,0.9670431940892298,2.9861041922136833,2.2047800500004087,10.027892829995835,16.485350989476707,14.427921352477156,18.63581235296635,True
30,7038,6798,0.9658994032395567,0.9479965899403239,0.9809605001420858,4.024481800326752,2.2060074000000895,26.874565204995427,16.598399846692935,14.529169200559515,18.71639650174315,True
120,7038,6858,0.9744245524296675,0.959079283887468,0.989769820971867,6.391773761878341,2.2073932499988587,26.978172519994118,16.66611375463939,14.592623589096894,18.768275419884297,True
