listing_model,rule_set,window_gates,budget_seconds,n_scheduled,n_unique_inputs,quality_itt_mean,quality_itt_median,valid_rate,failure_rate,wall_seconds_median,wall_seconds_p95,peak_rss_mb_median,peak_rss_mb_p95,pareto_nondominated,dominates_n,dominated_by_n,pareto_dominance_rate,pareto_dominated_by_rate
LBL,COMMUTATION_ONLY,4,1,391,391,0.0,0.0,0.0,1.0,1.042472600005567,1.0577474499987147,98.78515625,106.20703125,False,14,1,0.19718309859154928,0.014084507042253521
LBL,COMMUTATION_ONLY,4,10,391,391,4.804587378251393,0.0,0.9462915601023018,0.05370843989769821,2.196008200000506,10.026057349998155,142.90234375,145.29296875,False,0,1,0.0,0.014084507042253521
LBL,COMMUTATION_ONLY,4,30,391,391,4.914787321528124,0.0,0.9667519181585678,0.03324808184143223,2.2170814000019163,20.26053284999921,142.94921875,146.36328125,False,0,1,0.0,0.014084507042253521
LBL,COMMUTATION_ONLY,4,120,391,391,4.958321181196754,0.0,0.9744245524296675,0.02557544757033248,2.1990648999926634,26.464222849997896,142.91015625,146.892578125,False,0,2,0.0,0.028169014084507043
LBL,COMMUTATION_ONLY,16,1,391,391,0.0,0.0,0.0,1.0,1.0443205999999918,1.0580376500038255,98.55859375,106.37890625,False,0,4,0.0,0.056338028169014086
LBL,COMMUTATION_ONLY,16,10,391,391,14.687358985271565,0.29112081513827937,0.9411764705882353,0.058823529411764705,2.2042082999978447,10.030052999998588,142.8359375,145.28125,False,0,1,0.0,0.014084507042253521
LBL,COMMUTATION_ONLY,16,30,391,391,14.778298707737303,0.29112081513827937,0.9616368286445013,0.03836317135549872,2.186120200000005,18.346437549998882,142.9296875,146.71875,False,0,1,0.0,0.014084507042253521
LBL,COMMUTATION_ONLY,16,120,391,391,14.850855140518354,3.7921348314606695,0.9744245524296675,0.02557544757033248,2.224381399995764,27.43162294999638,142.91796875,146.974609375,False,1,6,0.014084507042253521,0.08450704225352113
LBL,COMMUTATION_ONLY,64,1,391,391,0.0,0.0,0.0,1.0,1.0433947000001353,1.0581623999964904,98.64453125,106.236328125,False,7,2,0.09859154929577464,0.028169014084507043
LBL,COMMUTATION_ONLY,64,10,391,391,15.64967199652275,4.7752808988763995,0.948849104859335,0.05115089514066496,2.200717200001236,9.006424099999833,142.9765625,145.396484375,True,0,0,0.0,0.0
LBL,COMMUTATION_ONLY,64,30,391,391,15.78444348545859,5.7046979865771785,0.969309462915601,0.030690537084398978,2.211296700000048,26.31738189999942,142.92578125,146.837890625,False,1,2,0.014084507042253521,0.028169014084507043
LBL,COMMUTATION_ONLY,64,120,391,391,15.81813635769255,5.72390572390572,0.9744245524296675,0.02557544757033248,2.2160965999937616,19.837278199999787,143.0,146.767578125,False,5,1,0.07042253521126761,0.014084507042253521
LBL,COMMUTATION_PLUS_TEMPLATES,4,1,391,391,0.0,0.0,0.0,1.0,1.0456272000010358,1.058211349999965,98.71875,106.314453125,False,0,4,0.0,0.056338028169014086
LBL,COMMUTATION_PLUS_TEMPLATES,4,10,391,391,7.725006249178906,0.0,0.948849104859335,0.05115089514066496,2.1887892999948235,9.315669799995703,142.90234375,145.369140625,False,0,1,0.0,0.014084507042253521
