experiment_id,run_id,mode,circuit_family,n_qubits,param_n,trial,seed,listing_model,optimizer,original_size,variant_size,optimized_size,reduction,fidelity,success,runtime_seconds,file_sha256,git_commit
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,wcl,greedy_phase1_lbl,120,120,114,0.050000000000000044,0.9999999999999912,True,0.03763437271118164,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,wcl,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999917,True,0.04312610626220703,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_0,greedy_phase1_lbl,120,120,114,0.050000000000000044,0.9999999999999917,True,0.03701019287109375,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_0,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999912,True,0.03599119186401367,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_1,greedy_phase1_lbl,120,120,114,0.050000000000000044,0.9999999999999921,True,0.03899645805358887,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_1,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999917,True,0.03803658485412598,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_2,greedy_phase1_lbl,120,120,116,0.033333333333333326,0.9999999999999919,True,0.03700089454650879,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_2,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999915,True,0.03901815414428711,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_3,greedy_phase1_lbl,120,120,114,0.050000000000000044,0.9999999999999912,True,0.04009270668029785,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_122807,full,Universal,6,6,1,1048,shuffle_3,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999915,True,0.03402256965637207,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
