experiment_id,mode,n_qubits,depth,seed_index,seed_base,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version,file_sha256,git_commit
E29_multi_seed_e04,full,5,15,0,42,4,46,hybrid,75,1.674178958638939,0.9566736906508223,75,75,0.0,0.9999999999999948,True,0.05101799964904785,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,4,46,rls,75,1.674178958638939,0.9566736906508223,75,209,-1.7866666666666666,0.9999999999999913,True,12.045517206192017,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,4,46,sa,75,1.674178958638939,0.9566736906508223,75,105,-0.3999999999999999,0.9999999999999922,True,1.8941810131072998,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,4,46,ga,75,1.674178958638939,0.9566736906508223,75,77,-0.026666666666666616,0.9999999999999948,True,5.239141941070557,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,5,47,hybrid,75,1.5137284490894145,0.8649876851939512,75,75,0.0,0.9999999999999952,True,0.06806206703186035,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,5,47,rls,75,1.5137284490894145,0.8649876851939512,75,211,-1.8133333333333335,0.9999999999999895,True,12.734320640563965,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,5,47,sa,75,1.5137284490894145,0.8649876851939512,75,89,-0.18666666666666676,0.9999999999999948,True,1.740121603012085,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,5,47,ga,75,1.5137284490894145,0.8649876851939512,75,83,-0.10666666666666669,0.999999999999995,True,5.995880365371704,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,6,48,hybrid,75,1.638101745759434,0.9360581404339623,75,71,0.053333333333333344,0.999999999999997,True,0.08356738090515137,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E29_multi_seed_e04,full,5,15,0,42,6,48,rls,75,1.638101745759434,0.9360581404339623,75,203,-1.7066666666666666,0.9999999999999927,True,15.629802227020264,1.1.0,fb277ffd3bd73e95b5b1d52a53865c66ad5c8149bf9a1a56821b99672e8a2501,8f41dbcfd681b95b99b94405645c2ab4e46f16af
