schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,topology,n_edges,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,status
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.061559+00:00,ghz_3,GHZ,3,linear,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,commutation_phase2,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.063558+00:00,ghz_3,GHZ,3,linear,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0019996166229248047,hybrid_phase1_2,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.073697+00:00,ghz_3,GHZ,3,grid,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0009140968322753906,greedy_phase1,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,c8b05b20ef3f2b7cd482ecd2eb894d443b62e0f388cf2c0ca55c75a82fc2dd9e,c8b05b20ef3f2b7cd482ecd2eb894d443b62e0f388cf2c0ca55c75a82fc2dd9e,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.075696+00:00,ghz_3,GHZ,3,grid,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0010001659393310547,commutation_phase2,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,c8b05b20ef3f2b7cd482ecd2eb894d443b62e0f388cf2c0ca55c75a82fc2dd9e,c8b05b20ef3f2b7cd482ecd2eb894d443b62e0f388cf2c0ca55c75a82fc2dd9e,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.080204+00:00,ghz_3,GHZ,3,grid,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.003507375717163086,hybrid_phase1_2,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,c8b05b20ef3f2b7cd482ecd2eb894d443b62e0f388cf2c0ca55c75a82fc2dd9e,c8b05b20ef3f2b7cd482ecd2eb894d443b62e0f388cf2c0ca55c75a82fc2dd9e,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.085763+00:00,ghz_3,GHZ,3,heavy_hex,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0010004043579101562,greedy_phase1,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.087763+00:00,ghz_3,GHZ,3,heavy_hex,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0010008811950683594,commutation_phase2,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.091765+00:00,ghz_3,GHZ,3,heavy_hex,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0020020008087158203,hybrid_phase1_2,42.0,1.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.096270+00:00,cnot_chain_3,CNOT,3,linear,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.098274+00:00,cnot_chain_3,CNOT,3,linear,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009975433349609375,commutation_phase2,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.100276+00:00,cnot_chain_3,CNOT,3,linear,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001001119613647461,hybrid_phase1_2,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.105276+00:00,cnot_chain_3,CNOT,3,grid,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.107275+00:00,cnot_chain_3,CNOT,3,grid,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009987354278564453,commutation_phase2,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.108275+00:00,cnot_chain_3,CNOT,3,grid,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009999275207519531,hybrid_phase1_2,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.115275+00:00,cnot_chain_3,CNOT,3,heavy_hex,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009996891021728516,greedy_phase1,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.117275+00:00,cnot_chain_3,CNOT,3,heavy_hex,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010006427764892578,commutation_phase2,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.119275+00:00,cnot_chain_3,CNOT,3,heavy_hex,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010001659393310547,hybrid_phase1_2,42.0,2.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.126274+00:00,bv_3,Oracle,4,linear,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.0009996891021728516,greedy_phase1,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,6536c061672dd221d675e8b1d0ee0ffc85d0a87b0d7abd3c23b797d1a6ab6885,6536c061672dd221d675e8b1d0ee0ffc85d0a87b0d7abd3c23b797d1a6ab6885,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.129276+00:00,bv_3,Oracle,4,linear,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.0020008087158203125,commutation_phase2,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,6536c061672dd221d675e8b1d0ee0ffc85d0a87b0d7abd3c23b797d1a6ab6885,6536c061672dd221d675e8b1d0ee0ffc85d0a87b0d7abd3c23b797d1a6ab6885,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.136277+00:00,bv_3,Oracle,4,linear,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.004999637603759766,hybrid_phase1_2,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,6536c061672dd221d675e8b1d0ee0ffc85d0a87b0d7abd3c23b797d1a6ab6885,6536c061672dd221d675e8b1d0ee0ffc85d0a87b0d7abd3c23b797d1a6ab6885,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.142275+00:00,bv_3,Oracle,4,grid,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010006427764892578,greedy_phase1,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,4fe03f68e0d9e678a9d3c636121059cae264522d5ca60dee9bc56291baa23efd,4fe03f68e0d9e678a9d3c636121059cae264522d5ca60dee9bc56291baa23efd,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.145277+00:00,bv_3,Oracle,4,grid,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002003192901611328,commutation_phase2,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,4fe03f68e0d9e678a9d3c636121059cae264522d5ca60dee9bc56291baa23efd,4fe03f68e0d9e678a9d3c636121059cae264522d5ca60dee9bc56291baa23efd,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.150275+00:00,bv_3,Oracle,4,grid,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003998994827270508,hybrid_phase1_2,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,4fe03f68e0d9e678a9d3c636121059cae264522d5ca60dee9bc56291baa23efd,4fe03f68e0d9e678a9d3c636121059cae264522d5ca60dee9bc56291baa23efd,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.156276+00:00,bv_3,Oracle,4,heavy_hex,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010004043579101562,greedy_phase1,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,39403cacea3a8e14ac74642a0f4160e7e29a60ecb8a722854f89d60ac18d5184,39403cacea3a8e14ac74642a0f4160e7e29a60ecb8a722854f89d60ac18d5184,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.159362+00:00,bv_3,Oracle,4,heavy_hex,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002086639404296875,commutation_phase2,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,39403cacea3a8e14ac74642a0f4160e7e29a60ecb8a722854f89d60ac18d5184,39403cacea3a8e14ac74642a0f4160e7e29a60ecb8a722854f89d60ac18d5184,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.163355+00:00,bv_3,Oracle,4,heavy_hex,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0030791759490966797,hybrid_phase1_2,45.0,3.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,39403cacea3a8e14ac74642a0f4160e7e29a60ecb8a722854f89d60ac18d5184,39403cacea3a8e14ac74642a0f4160e7e29a60ecb8a722854f89d60ac18d5184,,ok
2.0.0,E17,e17_full_20260610_150935,2026-06-10T15:09:36.172367+00:00,qaoa_line_3,QAOA,3,linear,2.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.002903461456298828,greedy_phase1,145.0,4.0,experiments/e17_connectivity/run.py,9b8f1e5a132ea09b6f5f75778520d3ce8acf00fe905994ad6538f7ae77119523,180e3889a17d7a96479f60632c579112f67e8797109a1843e1539a3fcc54a74e,180e3889a17d7a96479f60632c579112f67e8797109a1843e1539a3fcc54a74e,,ok
