schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,window_size,fidelity,success,iterations,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.122882+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,2,1.0,True,8,0.001004934310913086,hybrid_phase1_2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.122882+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,5,1.0,True,8,0.0,phase1_only,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.124886+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,16,0.0,0.0,0.0,0.0,0.0,5,1.0,True,0,0.0,commutation_phase2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.126892+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,5,1.0,True,8,0.002005338668823242,hybrid_phase1_2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.126892+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,10,1.0,True,8,0.0,phase1_only,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.128897+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,16,0.0,0.0,0.0,0.0,0.0,10,1.0,True,0,0.002004861831665039,commutation_phase2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.130902+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,10,1.0,True,8,0.0020058155059814453,hybrid_phase1_2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.130902+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,20,1.0,True,8,0.0,phase1_only,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.132907+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,16,0.0,0.0,0.0,0.0,0.0,20,1.0,True,0,0.002004861831665039,commutation_phase2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.134912+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,20,1.0,True,8,0.002004861831665039,hybrid_phase1_2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.134912+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,50,1.0,True,8,0.0,phase1_only,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.136917+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,16,0.0,0.0,0.0,0.0,0.0,50,1.0,True,0,0.0,commutation_phase2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.138922+00:00,cnot_chain_3,CNOT,cnot_chain,3,16,0,1.0,100.0,1.0,1.0,1.0,50,1.0,True,8,0.0020051002502441406,hybrid_phase1_2,42,2,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.140927+00:00,bv_3,Oracle,bernstein_vazirani,4,12,12,0.0,0.0,0.0,0.0,0.0,2,1.0,True,0,0.0,phase1_only,45,3,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.140927+00:00,bv_3,Oracle,bernstein_vazirani,4,12,12,0.0,0.0,0.0,0.0,0.0,2,1.0,True,0,0.0,commutation_phase2,45,3,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.142932+00:00,bv_3,Oracle,bernstein_vazirani,4,12,12,0.0,0.0,0.0,0.0,0.0,2,1.0,True,0,0.0,hybrid_phase1_2,45,3,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.142932+00:00,bv_3,Oracle,bernstein_vazirani,4,12,12,0.0,0.0,0.0,0.0,0.0,5,1.0,True,0,0.0,phase1_only,45,3,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.142932+00:00,bv_3,Oracle,bernstein_vazirani,4,12,12,0.0,0.0,0.0,0.0,0.0,5,1.0,True,0,0.0,commutation_phase2,45,3,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
2.0.0,E16,e16_smoke_20260721_053223,2026-07-21T05:32:24.144937+00:00,bv_3,Oracle,bernstein_vazirani,4,12,12,0.0,0.0,0.0,0.0,0.0,5,1.0,True,0,0.0,hybrid_phase1_2,45,3,experiments/e16_window_scaling/run.py,4b8b7eb34965588cc93477342b4d6a9b069ba4a00ca80b1c8a53df4a6f3374dd,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,2b1cde4abea2ed44a9eb8279de400f807116abcb88a364fd04bbb05b1c3244ae,
