block,order,idle_raw_before,idle_raw_after,idle_wall_seconds,idle_package_joules,idle_package_watts,workload_raw_before,workload_raw_after,workload_wall_seconds,gross_package_joules,idle_adjusted_package_joules,workload_receipt_path,workload_receipt_sha256
0,idle_then_workload,1028155820822777,1028218967158611,6.000220799993258,63.146335834,10.524002022404067,1028229901222222,1028321575411111,8.406952499994077,91.674188889,3.199403776807415,data/v11/e37_energy_cost_telemetry/workload_receipts/block_00.json,bda7ee2b09411346d8e6772e3d723772b6db4b6dc976ef8aed69228fbf75690c
1,workload_then_idle,1028415779253055,1028448689193611,6.000557000021217,32.909940556,5.484480949999081,1028332539263055,1028404834666944,7.518861799995648,72.295403889,31.058349581248073,data/v11/e37_energy_cost_telemetry/workload_receipts/block_01.json,86dbcd3bbc232dc1bc40162bb598c0185828413c449c41ece51cd96b48b3328f
2,idle_then_workload,1028457018472500,1028496775527500,6.000427599996328,39.757055,6.625703641524535,1028508763857500,1028593877293055,7.816042199992808,85.113435555,33.32665628819821,data/v11/e37_energy_cost_telemetry/workload_receipts/block_02.json,a7dcffb870c7ac9bc761063c1cc6c5dec497b6124a39f35d14d7426f8187b30c
3,workload_then_idle,1028697378771944,1028730541591388,6.000594799988903,33.162819444,5.526588704849948,1028607488985555,1028687165118333,7.836928300006548,79.676132778,36.364653354464906,data/v11/e37_energy_cost_telemetry/workload_receipts/block_03.json,bc7172ef28c1891a8b04aab551e7e4045c79cc6af5ebb5a6bb3126e2d71d0902
4,idle_then_workload,1028739545987777,1028787062683333,6.0002477999951225,47.516695556,7.919122199592928,1028799684295000,1028892942060833,8.526366500009317,93.257765833,25.73642760091076,data/v11/e37_energy_cost_telemetry/workload_receipts/block_04.json,b91728eb3bc48893bc40b4458c849ecf35fb9bc8dbba0eef05ce8513b7adc6d5
