circuit_family,n_qubits,original_gate_count,compiler,pass_name,optimized_gate_count,reduction,fidelity,runtime_seconds,original_depth,original_2q,original_cnot
RandomClifford,4,36,custom,commutation_phase2,28,0.2222222222222222,0.9999999999999952,0.012998580932617188,14,8,8
RandomClifford,4,36,qiskit,CommutativeCancellation,28,0.2222222222222222,,0.0005071163177490234,14,8,8
RandomClifford,4,36,qiskit,Optimize1qGates,36,0.0,,0.0,14,8,8
RandomClifford,5,41,custom,greedy_phase1,41,0.0,0.9999999999999933,0.014333963394165039,12,4,4
RandomClifford,5,41,custom,commutation_phase2,33,0.19512195121951215,0.9999999999999947,0.016517162322998047,12,4,4
RandomClifford,5,41,qiskit,CommutativeCancellation,33,0.19512195121951215,,0.0009999275207519531,12,4,4
RandomClifford,5,41,qiskit,Optimize1qGates,41,0.0,,0.0009987354278564453,12,4,4
RandomClifford,6,37,custom,greedy_phase1,37,0.0,0.9999999999999932,0.01781916618347168,10,3,3
RandomClifford,6,37,custom,commutation_phase2,27,0.2702702702702703,0.9999999999999963,0.023012161254882812,10,3,3
RandomClifford,6,37,qiskit,CommutativeCancellation,27,0.2702702702702703,,0.0,10,3,3
RandomClifford,6,37,qiskit,Optimize1qGates,37,0.0,,0.0,10,3,3
RandomClifford,7,46,custom,greedy_phase1,46,0.0,0.9999999999999929,0.0456082820892334,10,3,3
RandomClifford,7,46,custom,commutation_phase2,30,0.34782608695652173,0.9999999999999938,0.04056358337402344,10,3,3
RandomClifford,7,46,qiskit,CommutativeCancellation,30,0.34782608695652173,,0.0,10,3,3
RandomClifford,7,46,qiskit,Optimize1qGates,46,0.0,,0.0,10,3,3
GHZ,3,3,custom,greedy_phase1,3,0.0,0.9999999999999996,0.002006053924560547,3,2,2
GHZ,3,3,custom,commutation_phase2,3,0.0,0.9999999999999996,0.00128936767578125,3,2,2
GHZ,3,3,qiskit,CommutativeCancellation,3,0.0,,0.0009992122650146484,3,2,2
GHZ,3,3,qiskit,Optimize1qGates,3,0.0,,0.0010077953338623047,3,2,2
GHZ,4,4,custom,greedy_phase1,4,0.0,0.9999999999999996,0.0019998550415039062,4,3,3
GHZ,4,4,custom,commutation_phase2,4,0.0,0.9999999999999996,0.0009996891021728516,4,3,3
GHZ,4,4,qiskit,CommutativeCancellation,4,0.0,,0.0008263587951660156,4,3,3
GHZ,4,4,qiskit,Optimize1qGates,4,0.0,,0.0010094642639160156,4,3,3
GHZ,5,5,custom,greedy_phase1,5,0.0,0.9999999999999998,0.0055391788482666016,5,4,4
GHZ,5,5,custom,commutation_phase2,5,0.0,0.9999999999999998,0.0029954910278320312,5,4,4
GHZ,5,5,qiskit,CommutativeCancellation,5,0.0,,0.0005044937133789062,5,4,4
GHZ,5,5,qiskit,Optimize1qGates,5,0.0,,0.0010066032409667969,5,4,4
GHZ,6,6,custom,greedy_phase1,6,0.0,0.9999999999999998,0.014852046966552734,6,5,5
GHZ,6,6,custom,commutation_phase2,6,0.0,0.9999999999999998,0.007950067520141602,6,5,5
GHZ,6,6,qiskit,CommutativeCancellation,6,0.0,,0.0009984970092773438,6,5,5
GHZ,6,6,qiskit,Optimize1qGates,6,0.0,,0.0010063648223876953,6,5,5
GHZ,7,7,custom,greedy_phase1,7,0.0,0.9999999999999998,0.01597142219543457,7,6,6
GHZ,7,7,custom,commutation_phase2,7,0.0,0.9999999999999998,0.016742229461669922,7,6,6
GHZ,7,7,qiskit,CommutativeCancellation,7,0.0,,0.0,7,6,6
GHZ,7,7,qiskit,Optimize1qGates,7,0.0,,0.0009996891021728516,7,6,6
