circuit_family,n_qubits,seed,original_gate_count,optimized_gate_count,inverse_pair_density,commutation_density,predicted_reduction,actual_reduction,prediction_error,fidelity,runtime_seconds,gate_count_total
Shor,3,42,18,18,0.0,0.11764705882352941,0.13079123529411765,0.0,-0.13079123529411765,0.9999999999999991,0.15668439865112305,18
Shor,3,142,18,18,0.0,0.11764705882352941,0.13079123529411765,0.0,-0.13079123529411765,0.9999999999999991,0.15897417068481445,18
Shor,3,242,15,15,0.0,0.14285714285714285,0.15857857142857143,0.0,-0.15857857142857143,0.9999999999999996,0.1317000389099121,15
Shor,3,342,18,18,0.0,0.11764705882352941,0.13079123529411765,0.0,-0.13079123529411765,0.9999999999999991,0.1282026767730713,18
Shor,3,442,15,15,0.0,0.14285714285714285,0.15857857142857143,0.0,-0.15857857142857143,0.9999999999999996,0.09590744972229004,15
Shor,4,42,21,21,0.0,0.15,0.16645165,0.0,-0.16645165,0.9999999999999991,1.9549195766448975,21
Shor,4,142,27,27,0.0,0.11538461538461539,0.1282975,0.0,-0.1282975,0.9999999999999991,2.7443878650665283,27
Shor,4,242,24,24,0.0,0.13043478260869565,0.14488626086956521,0.0,-0.14488626086956521,0.9999999999999991,2.4086005687713623,24
Shor,4,342,24,24,0.0,0.13043478260869565,0.14488626086956521,0.0,-0.14488626086956521,0.9999999999999991,2.5348429679870605,24
Shor,4,442,21,21,0.0,0.15,0.16645165,0.0,-0.16645165,0.9999999999999991,1.8211536407470703,21
Shor,5,42,28,28,0.0,0.14814814814814814,0.16441048148148146,0.0,-0.16441048148148146,0.9999999999999991,38.91207671165466,28
Shor,5,142,37,37,0.0,0.1111111111111111,0.12358711111111109,0.0,-0.12358711111111109,0.9999999999999991,52.479187965393066,37
Shor,5,242,28,28,0.0,0.14814814814814814,0.16441048148148146,0.0,-0.16441048148148146,0.9999999999999991,36.99552917480469,28
Shor,5,342,34,34,0.0,0.12121212121212122,0.13472075757575758,0.0,-0.13472075757575758,0.9999999999999991,48.19606685638428,34
Shor,5,442,28,28,0.0,0.14814814814814814,0.16441048148148146,0.0,-0.16441048148148146,0.9999999999999991,38.668877601623535,28
Shor,6,42,39,39,0.0,0.13157894736842105,0.1461473947368421,0.0,-0.1461473947368421,1.0,0.02200007438659668,39
Shor,6,142,45,45,0.0,0.11363636363636363,0.12637052272727273,0.0,-0.12637052272727273,1.0,0.028081893920898438,45
Shor,6,242,36,36,0.0,0.14285714285714285,0.15857857142857143,0.0,-0.15857857142857143,1.0,0.021999359130859375,36
Shor,6,342,42,42,0.0,0.12195121951219512,0.13553541463414634,0.0,-0.13553541463414634,1.0,0.027861356735229492,42
Shor,6,442,39,39,0.0,0.13157894736842105,0.1461473947368421,0.0,-0.1461473947368421,1.0,0.03349900245666504,39
Shor,7,42,51,51,0.0,0.12,0.13338471999999998,0.0,-0.13338471999999998,1.0,0.03923964500427246,51
Shor,7,142,54,54,0.0,0.11320754716981132,0.1258978679245283,0.0,-0.1258978679245283,1.0,0.03155684471130371,54
Shor,7,242,45,45,0.0,0.13636363636363635,0.15142122727272728,0.0,-0.15142122727272728,1.0,0.03385210037231445,45
Shor,7,342,51,51,0.0,0.12,0.13338471999999998,0.0,-0.13338471999999998,1.0,0.02777099609375,51
