optimizer,mean,ci95_lo,ci95_hi
greedy_phase1,0.006522898843204144,0.0012470166920660081,0.01336135918309819
commutation_phase2a,0.09097046103119784,0.08163958209071263,0.10119121056836178
template_phase2b,0.4806760886067136,0.45665373255702985,0.5048840420283529
