experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers,bv_secret
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,4,3,6,11,5,0.5454545454545454,0.9999999999999988,exact,True,0.0009992122650146484,8048,8,3.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,4,3,5,10,10,0.0,0.9999999999999979,exact,True,0.0,9048,9,,,,,,,,,3
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,4,3,5,10,8,0.19999999999999996,0.9999999999999981,exact,True,0.0,9048,9,,,,,,,,,3
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,4,3,5,10,4,0.6,0.9999999999999988,exact,True,0.0009996891021728516,9048,9,2.0,0.0,0.0,3.0,0.0,0.0,12.0,7.0,3
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,7,14,14,0.0,0.999999999999997,exact,True,0.0,49,0,,,,,,,,,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,7,14,14,0.0,0.999999999999997,exact,True,0.0010061264038085938,49,0,,,,,,,,,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,7,14,6,0.5714285714285714,0.9999999999999984,exact,True,0.002016305923461914,49,0,4.0,0.0,0.0,4.0,0.0,0.0,38.0,0.0,15
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,5,4,6,13,13,0.0,0.999999999999997,exact,True,0.0,1049,1,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,5,4,6,13,11,0.15384615384615385,0.9999999999999979,exact,True,0.0,1049,1,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,5,4,6,13,5,0.6153846153846154,0.9999999999999984,exact,True,0.001987457275390625,1049,1,3.0,0.0,0.0,4.0,0.0,0.0,25.0,10.0,7
