experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,50,235,235,0.0,1.000000000000005,exact,True,0.002999544143676758,435,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,50,235,199,0.15319148936170213,1.000000000000005,exact,True,0.06820917129516602,435,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,50,235,10,0.9574468085106383,1.0000000000000009,exact,True,0.10484576225280762,435,2,0.0,0.0,0.0,1.0,40.0,129.0,12.0,4537.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,20,145,145,0.0,1.0,exact,True,0.0009133815765380859,225,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,20,145,127,0.12413793103448278,1.0,exact,True,0.021178245544433594,225,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,20,145,18,0.8758620689655172,0.9999999999999996,exact,True,0.061060190200805664,225,0,0.0,1.0,0.0,0.0,22.0,73.0,74.0,2399.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,20,143,143,0.0,1.0,exact,True,0.001102447509765625,325,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,20,143,131,0.08391608391608396,1.0,exact,True,0.02308940887451172,325,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,20,143,20,0.8601398601398601,0.9999999999999982,exact,True,0.05480504035949707,325,1,0.0,0.0,0.0,0.0,18.0,77.0,26.0,2204.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,20,142,142,0.0,1.0000000000000004,exact,True,0.0009648799896240234,425,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,20,142,116,0.18309859154929575,1.0000000000000004,exact,True,0.03081226348876953,425,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,20,142,20,0.8591549295774648,0.9999999999999991,exact,True,0.05727219581604004,425,2,0.0,0.0,0.0,0.0,23.0,66.0,38.0,2277.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,35,254,254,0.0,1.0000000000000053,exact,True,0.0020072460174560547,240,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,35,254,230,0.09448818897637801,1.0000000000000053,exact,True,0.056555986404418945,240,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,35,254,14,0.9448818897637795,1.0000000000000009,exact,True,0.10988664627075195,240,0,0.0,1.0,0.0,1.0,39.0,138.0,55.0,4533.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,35,266,266,0.0,1.000000000000003,exact,True,0.0030002593994140625,340,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,35,266,242,0.09022556390977443,1.000000000000003,exact,True,0.05173635482788086,340,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,35,266,14,0.9473684210526316,1.0,exact,True,0.11980867385864258,340,1,0.0,1.0,0.0,1.0,51.0,123.0,65.0,4948.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,35,262,262,0.0,1.0000000000000004,exact,True,0.003009796142578125,440,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,35,262,232,0.1145038167938931,1.0000000000000004,exact,True,0.06837916374206543,440,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,35,262,21,0.9198473282442748,0.9999999999999998,exact,True,0.11304903030395508,440,2,0.0,0.0,0.0,0.0,45.0,132.0,20.0,4690.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,50,361,361,0.0,1.000000000000007,exact,True,0.0031538009643554688,255,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,6,6,50,361,335,0.07202216066481992,1.000000000000007,exact,True,0.08507418632507324,255,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,6,6,50,361,21,0.9418282548476454,1.0000000000000027,exact,True,0.16308331489562988,255,0,0.0,0.0,0.0,0.0,60.0,193.0,38.0,6554.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,6,6,50,339,339,0.0,1.0000000000000062,exact,True,0.0039098262786865234,355,1,,,,,,,,
