n,mean_reduction,min_reduction,std,count,thm9_rigorous_lower_bound,mean_meets_bound,min_meets_bound
3,0.5915151515151514,0.5454545454545454,0.04722262734121049,10,0.17142857142857143,True,True
4,0.6124542124542126,0.5714285714285714,0.03491294945184183,10,0.18181818181818182,True,True
5,0.6949499030381384,0.5882352941176471,0.06322930887845032,10,0.18867924528301888,True,True
6,0.7155108359133127,0.6,0.06447565297624151,10,0.1935483870967742,True,True
7,0.7071268751589117,0.6086956521739131,0.05256131819271673,10,0.19718309859154928,True,True
8,0.7268785707046577,0.6153846153846154,0.06918044290999947,10,0.2,True,True
9,0.7455357595927311,0.6206896551724138,0.06178503875279656,10,0.20224719101123595,True,True
10,0.7438431013431013,0.625,0.0480253726693706,10,0.20408163265306123,True,True
