experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,50,160,130,0.1875,1.000000000000002,exact,True,0.0571751594543457,425,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,50,160,6,0.9625,1.0,exact,True,0.07315659523010254,425,2,0.0,0.0,0.0,1.0,25.0,85.0,2.0,2777.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,5,5,20,121,121,0.0,0.9999999999999984,exact,True,0.0019071102142333984,215,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,5,5,20,121,103,0.14876033057851235,0.9999999999999984,exact,True,0.022001028060913086,215,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,5,5,20,121,10,0.9173553719008265,0.9999999999999981,exact,True,0.0608823299407959,215,0,0.0,1.0,0.0,1.0,18.0,61.0,34.0,1989.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,5,5,20,125,125,0.0,0.9999999999999996,exact,True,0.0010144710540771484,315,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,5,5,20,125,101,0.19199999999999995,0.9999999999999996,exact,True,0.026999950408935547,315,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,5,5,20,125,16,0.872,0.9999999999999981,exact,True,0.0633699893951416,315,1,0.0,0.0,0.0,0.0,22.0,57.0,19.0,2057.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,5,5,20,129,129,0.0,0.9999999999999984,exact,True,0.0010001659393310547,415,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,5,5,20,129,113,0.12403100775193798,0.9999999999999984,exact,True,0.015078306198120117,415,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,5,5,20,129,14,0.8914728682170543,0.9999999999999981,exact,True,0.0596926212310791,415,2,0.0,1.0,0.0,0.0,23.0,59.0,37.0,2106.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,5,5,35,208,208,0.0,1.0000000000000064,exact,True,0.004087209701538086,230,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,5,5,35,208,180,0.13461538461538458,1.0000000000000064,exact,True,0.06621503829956055,230,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,5,5,35,208,14,0.9326923076923077,1.0000000000000018,exact,True,0.10005760192871094,230,0,0.0,1.0,0.0,0.0,30.0,121.0,48.0,3608.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,5,5,35,228,228,0.0,1.000000000000003,exact,True,0.002917766571044922,330,1,,,,,,,,
