experiment_id,n_qubits,depth,rho,trials,mean_a_adj,theory_a_adj,rel_err,z_score,mean_m_gates,theory_m_gates,mean_reduction_greedy,theory_r_adj_upper,p_cancel
E30,4,10,0.0,500,2.352,2.3801652892561984,-0.011833333333333416,-0.4296772652967039,40.0,40.0,0.11430000000000001,0.11900826446280992,0.06611570247933884
E30,4,10,0.3,500,1.426,1.436280991735537,-0.007158064330513771,-0.19161470715873355,40.0,34.0,0.0844,0.08448711716091395,0.03989669421487603
E30,4,10,0.6,500,1.396,1.4608264462809917,-0.044376555781851124,-1.1083127301050442,40.0,28.0,0.11410000000000001,0.10434474616292798,0.040578512396694216
E30,4,20,0.0,500,4.986,5.024793388429752,-0.0077203947368421795,-0.394314941982307,80.0,80.0,0.11930000000000002,0.1256198347107438,0.06611570247933884
E30,4,20,0.3,500,2.98,3.032148760330578,-0.01719861538880844,-0.6664169138592089,80.0,68.0,0.08755000000000002,0.08918084589207584,0.03989669421487603
E30,4,20,0.6,500,3.168,3.08396694214876,0.027248365312466626,0.9904802448358393,80.0,56.0,0.13294999999999998,0.11014167650531288,0.040578512396694216
E30,4,40,0.0,500,10.29,10.314049586776859,-0.002331730769230794,-0.1667321962188077,160.0,160.0,0.1246,0.12892561983471076,0.06611570247933884
E30,4,40,0.3,500,6.16,6.22388429752066,-0.01026437743164801,-0.5294009859896381,160.0,136.0,0.089775,0.09152771025765677,0.03989669421487603
E30,4,40,0.6,500,6.68,6.330247933884298,0.05525092694135454,2.864028929372341,160.0,112.0,0.14032499999999998,0.11304014167650532,0.040578512396694216
E30,5,10,0.0,500,3.094,2.975206611570248,0.03992777777777778,1.5328063442387607,50.0,50.0,0.1192,0.11900826446280992,0.06611570247933884
E30,5,10,0.3,500,1.894,1.8804793388429752,0.007190007822869077,0.22420129878236633,50.0,44.0,0.08016,0.08547633358377159,0.04178842975206611
E30,5,10,0.6,500,1.502,1.452495867768595,0.03408211570849832,0.866160661722158,50.0,38.0,0.08504,0.07644715093518922,0.03227768595041323
E30,5,20,0.0,500,6.26,6.2809917355371905,-0.0033421052631579917,-0.19524096027464205,100.0,100.0,0.12228,0.1256198347107438,0.06611570247933884
E30,5,20,0.3,500,4.008,3.969900826446281,0.009597008897530547,0.4044502985544678,100.0,88.0,0.08476000000000002,0.09022501878287002,0.04178842975206611
E30,5,20,0.6,500,3.112,3.066380165289256,0.014877422971603571,0.5872401205668567,100.0,76.0,0.09040000000000001,0.08069421487603307,0.03227768595041323
E30,5,40,0.0,500,12.554,12.892561983471074,-0.026260256410256366,-2.235717468716733,200.0,200.0,0.12214000000000001,0.12892561983471074,0.06611570247933884
E30,5,40,0.3,500,8.396,8.148743801652893,0.03034286073602587,1.816321445337917,200.0,176.0,0.08806,0.09259936138241921,0.04178842975206611
E30,5,40,0.6,500,6.152,6.294148760330579,-0.02258427084318115,-1.2997096498568812,200.0,152.0,0.0897,0.082817746846455,0.03227768595041323
E30,8,10,0.0,500,4.8,4.760330578512397,0.008333333333333267,0.4122732454492863,80.0,80.0,0.11569999999999998,0.11900826446280992,0.06611570247933884
E30,8,10,0.3,500,2.548,2.5639905548996453,-0.0062365888474465005,-0.22925385972820206,80.0,68.0,0.06915,0.0754114869088131,0.03561097992916174
E30,8,10,0.6,500,1.706,1.6873671782762691,0.011042541281835995,0.31201257362095486,80.0,56.0,0.06520000000000001,0.060263113509866746,0.02343565525383707
E30,8,20,0.0,500,10.056,10.049586776859504,0.0006381578947367309,0.04584516332264697,160.0,160.0,0.12220000000000002,0.1256198347107438,0.06611570247933884
E30,8,20,0.3,500,5.478,5.4128689492325845,0.012032630270246841,0.5987002401122564,160.0,136.0,0.073725,0.07960101395930272,0.03561097992916174
E30,8,20,0.6,500,3.54,3.5622195985832343,-0.006237571258119932,-0.2694839809275233,160.0,112.0,0.0678,0.06361106426041489,0.02343565525383707
E30,8,40,0.0,500,20.732,20.628099173553718,0.005036858974359,0.5310685587130372,320.0,320.0,0.12575,0.12892561983471076,0.06611570247933884
E30,8,40,0.3,500,11.248,11.110625737898463,0.01236422370280652,0.9271701579386354,320.0,272.0,0.0753625,0.08169577748454752,0.03561097992916174
E30,8,40,0.6,500,7.16,7.311924439197167,-0.02077762707485634,-1.2607145440606142,320.0,224.0,0.06895,0.06528503963568898,0.02343565525383707
