experiment,n_qubits,depth,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
3,3,1,47,89,3,-0.0,-0.0,3,3,0.0,1.0,False,0.0,3.0.0
3,3,1,48,90,3,-0.0,-0.0,3,3,0.0,1.0,False,0.0,3.0.0
3,3,1,49,91,3,-3.2034265038149176e-16,-4.27123533841989e-16,3,3,0.0,1.0000000000000004,False,0.0,3.0.0
3,3,2,0,42,6,-0.0,-0.0,6,6,0.0,1.0,False,0.0009984970092773438,3.0.0
3,3,2,1,43,6,-0.0,-0.0,6,6,0.0,1.0,False,0.0,3.0.0
3,3,2,2,44,6,0.6865080578326251,0.9153440771101669,6,6,0.0,0.9999999999999992,False,0.0010004043579101562,3.0.0
3,3,2,3,45,6,1.6017132519074586e-16,2.1356176692099448e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,4,46,6,0.8896624672274958,1.1862166229699944,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,5,47,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999992,False,0.0010004043579101562,3.0.0
3,3,2,6,48,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999994,False,0.0,3.0.0
3,3,2,7,49,6,-0.0,-0.0,6,6,0.0,1.0000000000000009,False,0.0010004043579101562,3.0.0
3,3,2,8,50,6,1.6017132519074586e-16,2.1356176692099448e-16,6,6,0.0,0.9999999999999998,False,0.0,3.0.0
3,3,2,9,51,6,1.2813706015259665e-15,1.7084941353679552e-15,6,6,0.0,0.9999999999999988,False,0.0010006427764892578,3.0.0
3,3,2,10,52,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,11,53,6,1.0,1.3333333333333333,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,12,54,6,1.0,1.3333333333333333,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,13,55,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,14,56,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,15,57,6,-0.0,-0.0,6,6,0.0,0.9999999999999996,False,0.00099945068359375,3.0.0
3,3,2,16,58,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.999999999999999,False,0.0,3.0.0
3,3,2,17,59,6,-3.2034265038149176e-16,-4.27123533841989e-16,6,6,0.0,0.9999999999999998,False,0.0,3.0.0
3,3,2,18,60,6,-0.0,-0.0,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,19,61,6,-0.0,-0.0,6,6,0.0,1.0,False,0.0,3.0.0
3,3,2,20,62,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999994,False,0.00099945068359375,3.0.0
3,3,2,21,63,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999996,False,0.0010068416595458984,3.0.0
3,3,2,22,64,6,1.6017132519074586e-16,2.1356176692099448e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,23,65,6,9.61027951144475e-16,1.2813706015259667e-15,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,24,66,6,-3.2034265038149176e-16,-4.27123533841989e-16,6,6,0.0,1.0000000000000004,False,0.0010080337524414062,3.0.0
3,3,2,25,67,6,-3.2034265038149176e-16,-4.27123533841989e-16,6,6,0.0,1.0,False,0.0009996891021728516,3.0.0
3,3,2,26,68,6,1.6017132519074586e-16,2.1356176692099448e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,27,69,6,1.6017132519074586e-16,2.1356176692099448e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,28,70,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,29,71,6,9.61027951144475e-16,1.2813706015259667e-15,6,6,0.0,0.9999999999999988,False,0.004999876022338867,3.0.0
3,3,2,30,72,6,-0.0,-0.0,6,6,0.0,1.0,False,0.0,3.0.0
3,3,2,31,73,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999994,False,0.0,3.0.0
3,3,2,32,74,6,0.8373999307883859,1.1165332410511812,6,6,0.0,1.0,False,0.0010013580322265625,3.0.0
3,3,2,33,75,6,-0.0,-0.0,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,34,76,6,1.121199276335221e-15,1.4949323684469612e-15,6,6,0.0,0.9999999999999984,False,0.0,3.0.0
3,3,2,35,77,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,36,78,6,1.2813706015259665e-15,1.7084941353679552e-15,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,37,79,6,1.0,1.3333333333333333,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,38,80,6,-0.0,-0.0,6,6,0.0,1.0,False,0.0009999275207519531,3.0.0
3,3,2,39,81,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,40,82,6,-0.0,-0.0,6,6,0.0,1.0,False,0.001424551010131836,3.0.0
3,3,2,41,83,6,8.008566259537292e-16,1.0678088346049723e-15,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,42,84,6,1.6017132519074586e-16,2.1356176692099448e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,43,85,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,44,86,6,-0.0,-0.0,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,45,87,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,2,46,88,6,3.2034265038149176e-16,4.27123533841989e-16,6,6,0.0,0.999999999999999,False,0.0,3.0.0
3,3,2,47,89,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999992,False,0.0010025501251220703,3.0.0
3,3,2,48,90,6,6.406853007629834e-16,8.542470676839779e-16,6,6,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,2,49,91,6,-3.2034265038149176e-16,-4.27123533841989e-16,6,6,0.0,1.0,False,0.0,3.0.0
3,3,3,0,42,9,0.7985199038287126,1.0646932051049502,9,9,0.0,1.0,False,0.0,3.0.0
3,3,3,1,43,9,1.6017132519074586e-16,2.1356176692099448e-16,9,9,0.0,0.9999999999999996,False,0.001001119613647461,3.0.0
3,3,3,2,44,9,0.6812153578883833,0.9082871438511777,9,9,0.0,0.9999999999999988,False,0.0009999275207519531,3.0.0
3,3,3,3,45,9,3.2034265038149176e-16,4.27123533841989e-16,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,4,46,9,0.889662467227496,1.1862166229699946,9,9,0.0,0.9999999999999987,False,0.0,3.0.0
3,3,3,5,47,9,9.61027951144475e-16,1.2813706015259667e-15,9,9,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,3,6,48,9,4.805139755722375e-16,6.406853007629833e-16,9,9,0.0,0.999999999999999,False,0.0009996891021728516,3.0.0
3,3,3,7,49,9,1.121199276335221e-15,1.4949323684469612e-15,9,9,0.0,1.0000000000000004,False,0.0009987354278564453,3.0.0
3,3,3,8,50,9,3.2034265038149176e-16,4.27123533841989e-16,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,9,51,9,8.008566259537292e-16,1.0678088346049723e-15,9,9,0.0,0.999999999999999,False,0.022124767303466797,3.0.0
3,3,3,10,52,9,6.406853007629834e-16,8.542470676839779e-16,9,9,0.0,0.9999999999999992,False,0.0010001659393310547,3.0.0
3,3,3,11,53,9,1.0,1.3333333333333333,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,12,54,9,4.805139755722375e-16,6.406853007629833e-16,9,9,0.0,0.999999999999999,False,0.0,3.0.0
3,3,3,13,55,9,4.805139755722375e-16,6.406853007629833e-16,9,9,0.0,0.9999999999999988,False,0.00099945068359375,3.0.0
3,3,3,14,56,9,6.406853007629834e-16,8.542470676839779e-16,9,9,0.0,0.999999999999999,False,0.0,3.0.0
3,3,3,15,57,9,-0.0,-0.0,9,9,0.0,0.9999999999999992,False,0.0009987354278564453,3.0.0
3,3,3,16,58,9,0.9369957113339016,1.2493276151118688,9,9,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,3,17,59,9,-3.2034265038149176e-16,-4.27123533841989e-16,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,18,60,9,0.3745280168171647,0.4993706890895529,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,19,61,9,-0.0,-0.0,9,9,0.0,1.0,False,0.0,3.0.0
3,3,3,20,62,9,4.805139755722375e-16,6.406853007629833e-16,9,9,0.0,0.9999999999999994,False,0.0,3.0.0
3,3,3,21,63,9,9.61027951144475e-16,1.2813706015259667e-15,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,22,64,9,-0.0,-0.0,9,9,0.0,0.9999999999999996,False,0.001527547836303711,3.0.0
3,3,3,23,65,9,9.61027951144475e-16,1.2813706015259667e-15,9,9,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,3,24,66,9,3.2034265038149176e-16,4.27123533841989e-16,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,25,67,9,0.21914203152459055,0.2921893753661207,9,9,0.0,1.0,False,0.0,3.0.0
3,3,3,26,68,9,1.6017132519074586e-16,2.1356176692099448e-16,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,27,69,9,3.2034265038149176e-16,4.27123533841989e-16,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,28,70,9,1.6017132519074586e-16,2.1356176692099448e-16,9,9,0.0,0.9999999999999996,False,0.0015146732330322266,3.0.0
3,3,3,29,71,9,9.61027951144475e-16,1.2813706015259667e-15,9,9,0.0,0.9999999999999987,False,0.0,3.0.0
3,3,3,30,72,9,-0.0,-0.0,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,31,73,9,0.6971453221112124,0.9295270961482832,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,32,74,9,0.8373999307883864,1.116533241051182,9,9,0.0,0.9999999999999992,False,0.0009999275207519531,3.0.0
3,3,3,33,75,9,6.406853007629834e-16,8.542470676839779e-16,9,9,0.0,0.9999999999999994,False,0.0005452632904052734,3.0.0
3,3,3,34,76,9,0.6008760366928567,0.801168048923809,9,9,0.0,0.9999999999999987,False,0.0,3.0.0
3,3,3,35,77,9,1.2813706015259665e-15,1.7084941353679552e-15,9,9,0.0,0.9999999999999988,False,0.0010008811950683594,3.0.0
3,3,3,36,78,9,1.121199276335221e-15,1.4949323684469612e-15,9,9,0.0,0.9999999999999984,False,0.0,3.0.0
3,3,3,37,79,9,1.0,1.3333333333333333,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,38,80,9,1.6017132519074586e-16,2.1356176692099448e-16,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,39,81,9,1.0,1.3333333333333333,9,9,0.0,0.9999999999999996,False,0.0009999275207519531,3.0.0
3,3,3,40,82,9,-0.0,-0.0,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,41,83,9,8.008566259537292e-16,1.0678088346049723e-15,9,9,0.0,0.999999999999999,False,0.0,3.0.0
3,3,3,42,84,9,-0.0,-0.0,9,9,0.0,0.9999999999999996,False,0.0009984970092773438,3.0.0
3,3,3,43,85,9,0.32658398718977066,0.43544531625302757,9,9,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,3,44,86,9,0.1649808062392785,0.219974408319038,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,45,87,9,0.4737141526709525,0.6316188702279367,9,9,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,3,46,88,9,8.008566259537292e-16,1.0678088346049723e-15,9,9,0.0,0.999999999999998,False,0.0,3.0.0
3,3,3,47,89,9,9.61027951144475e-16,1.2813706015259667e-15,9,9,0.0,0.9999999999999992,False,0.015999794006347656,3.0.0
