experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,0,qiskit_L3,7,7,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,0,tket_FPO_noswap,7,7,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,0,cirq_default,9,7,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,0,prototype_greedy,7,7,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,1,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,1,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,1,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,1,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,2,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,2,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,2,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,2,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,3,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,3,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,3,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,3,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,4,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,4,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,4,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,4,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,5,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,5,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,5,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,5,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,6,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,6,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,6,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,6,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,7,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,7,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,7,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,7,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,8,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,8,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,8,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,8,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,9,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,9,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,9,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,9,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,10,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,10,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,10,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,10,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,11,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,11,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,11,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,11,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,12,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,12,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,12,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,12,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,13,qiskit_L3,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,13,tket_FPO_noswap,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,13,cirq_default,9,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,13,prototype_greedy,7,,pass,
E_listing_sensitivity_v8,uccsd_3,UCCSD_inspired,3,14,qiskit_L3,7,,pass,
