experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,bv_7,Oracle,8,18,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,18,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,18,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,18,prototype_greedy,20,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,19,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,19,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,19,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,19,prototype_greedy,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,0,qiskit_L3,20,56.0,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,0,tket_FPO_noswap,19,56.0,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,0,cirq_default,25,56.0,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,0,prototype_greedy,56,56.0,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,1,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,1,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,1,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,1,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,2,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,2,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,2,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,2,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,3,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,3,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,3,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,3,prototype_greedy,52,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,4,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,4,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,4,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,4,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,5,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,5,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,5,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,5,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,6,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,6,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,6,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,6,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,7,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,7,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,7,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,7,prototype_greedy,54,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,8,qiskit_L3,20,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,8,tket_FPO_noswap,19,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,8,cirq_default,25,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,8,prototype_greedy,56,,pass,
E_listing_sensitivity_v8,clifford_8,RandomClifford,8,9,qiskit_L3,20,,pass,
