config,held_out_family,n_test,mean_actual,std_actual,mae,pearson_r,spearman_r
v4_rule_gate_phase1_saturation,UCCSD,40,0.001,0.006244997998398397,0.000550180152137384,1.0,0.9999999999999999
v4_rule_gate_phase1_saturation,VQE,40,0.0,0.0,0.0,,
v5_ridge_linear,Adder,40,0.0,0.0,0.010876283166272193,,
v5_ridge_linear,CNOT,40,1.0,0.0,0.44950305190181516,,
v5_ridge_linear,GHZ,40,0.0,0.0,0.018217030134409493,,
v5_ridge_linear,Grover,40,0.019384806546351163,0.029090427025052545,0.006046886095106905,0.9996623609750871,0.886465869334685
v5_ridge_linear,HaarRandom,10,0.0,0.0,0.0,,
v5_ridge_linear,HardwareEfficient,40,0.0,0.0,0.0,,
v5_ridge_linear,IQP,40,0.0,0.0,0.040446649408982044,,
v5_ridge_linear,Oracle,40,0.1584744856107085,0.23009693920599478,0.06605255876233754,0.996352367689317,0.9999999999999998
v5_ridge_linear,QAOA,40,0.0,0.0,0.0,,
v5_ridge_linear,QFT,40,0.0,0.0,0.0,,
v5_ridge_linear,QuantumWalk,40,0.0,0.0,0.002929720234135332,,
v5_ridge_linear,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.09295539973673043,0.7188895407288054,0.7565335918783986
v5_ridge_linear,SurfaceCode,40,0.0,0.0,0.01397235472052879,,
v5_ridge_linear,UCCSD,40,0.001,0.006244997998398397,0.0002922449806329479,0.9993681212122159,0.30751972329166966
v5_ridge_linear,VQE,40,0.0,0.0,0.0,,
