family,n_qubits,param_n,depth,seed,circuit_sha256,gate_reduction,phase1_only_reduction,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
QuantumVolume,3,3,10,3,0b02f9ab87235a41979174889365526e7f689de7079b1958f08033f747002d25,0.0,0.0,3,1.3862943611198906,1.0,3,1.0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,3,1.0,1.0,1,0.0
QuantumVolume,3,3,20,1,b39e8cbe5f4acd9a72670f8462b0e1ebd6af6e35b2d6862a649cd0df41379c1e,0.0,0.0,6,1.9459101490553132,2.0,6,2.0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,0.0
QuantumVolume,3,3,20,2,f5646a5a3539afa13df32cfb7e53d3285cafed2f3f03ed08f3d263df0abea9c0,0.0,0.0,6,1.9459101490553132,2.0,6,2.0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,0.0
QuantumVolume,3,3,20,3,3b1222c1dbe5c1706033593d21ed4e288a82dcbaedcf70dbea694eb5b89dfe24,0.0,0.0,6,1.9459101490553132,2.0,6,2.0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,0.0
QuantumVolume,3,3,30,1,b5c8711f70fa24a2de0ab9352af9dceecfacfffc63d424d62299d45e0ebb4831,0.0,0.0,10,2.3978952727983707,3.3333333333333335,10,3.3333333333333335,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,0.0
QuantumVolume,3,3,30,2,1bc44bcabbacf76f5499fda4fa762a1e80bdd26b2a0e943e2dc04859456b1d73,0.0,0.0,10,2.3978952727983707,3.3333333333333335,10,3.3333333333333335,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,0.0
QuantumVolume,3,3,30,3,c010f32961023f9578393c0ce89672cc808a572c9646d4e8d53a9191545170e8,0.0,0.0,10,2.3978952727983707,3.3333333333333335,10,3.3333333333333335,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,0.0
QuantumVolume,4,4,10,1,27b6f888a5a2cb73c8268dd8c7f2ecfb5618895a34e3ed4bef9a9600392a1786,0.0,0.0,4,1.6094379124341003,1.0,2,0.5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.5,2.0,2,0.0
QuantumVolume,4,4,10,2,956917889872423cc897bee369c50491687d58af6e52784bad0d366605b32747,0.0,0.0,4,1.6094379124341003,1.0,2,0.5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.5,2.0,2,0.0
QuantumVolume,4,4,10,3,c7a5bd36d8419fec2d51f34e9a14813e2df2fd241916fcdd6193e1780f513279,0.0,0.0,4,1.6094379124341003,1.0,2,0.5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.5,2.0,2,0.0
