row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
19,QFT,6,648061058,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
20,QFT,8,88409749,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
21,QFT,8,242285876,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
22,QFT,8,2018247425,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
23,QFT,8,953477463,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
24,QFT,8,1427830251,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
25,QFT,8,1883569565,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
26,QFT,8,911989541,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
27,QFT,8,3344769,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
28,QFT,8,780932287,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
