config,held_out_family,n_test,mean_actual,std_actual,mae,pearson_r,spearman_r,r2
combined+two_stage_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.1944393802681746,-0.2571986937790945,-0.25670130242798966,-6.024974460280631
combined+two_stage_rf,SurfaceCode,40,0.0,0.0,0.0,,,
combined+two_stage_rf,UCCSD,40,0.001,0.006244997998398397,0.001,,,-0.025641025641025772
combined+two_stage_rf,VQE,40,0.0,0.0,0.0,,,
combined+single_stage_rf,Adder,40,0.0,0.0,0.00625,,,
combined+single_stage_rf,CNOT,40,1.0,0.0,0.8128426279960765,,,
combined+single_stage_rf,GHZ,40,0.0,0.0,0.0,,,
combined+single_stage_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.016105016185902325,0.8861002550099629,0.892855538251821,0.6228480406978075
combined+single_stage_rf,HaarRandom,10,0.0,0.0,0.0,,,
combined+single_stage_rf,HardwareEfficient,40,0.0,0.0,0.0,,,
combined+single_stage_rf,IQP,40,0.0,0.0,0.043515897232894576,,,
combined+single_stage_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.04783910009838921,0.9300465584527975,0.9999999999999998,0.7189074481826039
combined+single_stage_rf,QAOA,40,0.0,0.0,0.0,,,
combined+single_stage_rf,QFT,40,0.0,0.0,0.0,,,
combined+single_stage_rf,QuantumWalk,40,0.0,0.0,0.0,,,
combined+single_stage_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.14082522962446015,0.8095658105174132,0.8510957820625245,-3.63531605557195
combined+single_stage_rf,SurfaceCode,40,0.0,0.0,0.0,,,
combined+single_stage_rf,UCCSD,40,0.001,0.006244997998398397,0.0007008557148899343,1.0,0.9999999999999999,0.4962064275960195
combined+single_stage_rf,VQE,40,0.0,0.0,1.7921146953405028e-05,,,
