title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"The qupit stabiliser ZX-travaganza: Simplified axioms, normal forms and graph-theoretic simplification","B Poór, RI Booth, T Carette, J Van De Wetering…",2023,28,"… stabiliser ZX-calculus for odd prime-dimensional qudits (ie qupits). We derive a simplified … between the resulting simplified diagram and a corresponding quantum circuit. In this section, …",Y2QgHb_8TAsJ,"B Poór, RI Booth, T Carette, J Van De Wetering… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2306.05204,unknown,unknown
Fast classical simulation of quantum circuits via parametric rewriting in the ZX-calculus,"M Sutcliffe, A Kissinger",2024,15,"… We address this issue by adapting the rewriting rules and simplification procedure of the ZX-calculus to support boolean free parameters. Remarkably, the graph-theoretic simplification …",WBpnbSl35KUJ,"M Sutcliffe, A Kissinger - arXiv preprint arXiv:2403.06777, 2024 - arxiv.org",[],https://arxiv.org/abs/2403.06777,unknown,unknown
Speeding up quantum circuits simulation using ZX-calculus,"T Cam, S Martiel",2023,12,… in ZX-Calculus to optimize a ZX-diagram before contracting it like a tensor network. Our contribution is a method to simplify and optimize a quantum circuit using ZX-Calculus before the …,IeWByfQjQ00J,"T Cam, S Martiel - arXiv preprint arXiv:2305.02669, 2023 - arxiv.org",[],https://arxiv.org/abs/2305.02669,unknown,unknown
Unifying Graph Measures and Stabilizer Decompositions for the Classical Simulation of Quantum Circuits,"J Codsi, T Laakkonen",2026,2,"… leverage graph-theoretic measures of the underlying circuit … with simplification routines based on the ZX-calculus [2, 3]; this … runtime bounds based on graph-theoretic measures. Indeed, …",KKafcQzimFEJ,"J Codsi, T Laakkonen - arXiv preprint arXiv:2603.06377, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.06377,unknown,unknown
A Rank-Width–Based Approach to Quantum Circuit Simulation via ZX-Calculus,F Kuyanov,2025,2,"… on quantum computation, tensor networks, and the ZX-calculus. We discuss the rules for converting a quantum circuit … After a quantum circuit is turned into a ZX diagram, simplification is …",NRx5pa_CvdEJ,F Kuyanov - 2025 - cs.ox.ac.uk,[],https://www.cs.ox.ac.uk/people/aleks.kissinger/theses/kuyanov-thesis.pdf,unknown,unknown
