title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Overview of Part IV,"L Burgholzer, R Wille",2026.0,0,"… While equivalence checking of quantum circuits is straightforward conceptually, it quickly … in this book toward quantum circuit equivalence checking sparked some complementary …",YujfFtT2as8J,"L Burgholzer, R Wille - … Quantum Computing: Inside the Munich Quantum …, 2026 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-06770-8_13,unknown,unknown
Advanced Equivalence Checking for Quantum Circuits,"L Burgholzer, R Wille",2026.0,0,"… is often detected by a few simulation runs (which can be conducted dramatically faster than the actual equivalence check). Moreover, passing several simulation runs leading to the …",HEz1pTiWKL4J,"L Burgholzer, R Wille - … Quantum Computing: Inside the Munich Quantum …, 2026 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-06770-8_14,unknown,unknown
"Formally Verifying Quantum Phase Estimation Circuits with 1,000+ Qubits","A Govindankutty, SK Srinivasan",2026.0,1,"… Several works apply formal verification to quantum circuits using equivalence checking [22], [… Yamashita and IL Markov, “Fast equivalence-checking for quantum circuits,” Quantum Info. …",TVyXlARzB1IJ,"A Govindankutty, SK Srinivasan - … IEEE 19th Dallas Circuits …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11544241/,unknown,unknown
VeriQBench: A Multi-Type Circuit Benchmark for Quantum Hardware and Formal Verification Tools,"K Chen, W Fang, J Guan, X Hong, M Huang, R Li, J Liu…",,0,"… port the equivalence checking of sequential quantum circuits. … In 2021 58th ACM/IEEE Design Automation Conference (DAC), … George F Viamontes, Igor L Markov, and John P Hayes. …",0VNVlQ0y2DAJ,"K Chen, W Fang, J Guan, X Hong, M Huang, R Li, J Liu… - cccorn.github.io",[],https://cccorn.github.io/publications/VeriQBench_A_Benchmark_for_Multiple_Types_of_Quantum_Circuits.pdf,unknown,unknown
A review of formal methods in quantum-circuit verification,A Govindankutty,2026.0,3,,BOXur1jcyzcJ,"A Govindankutty - Electronics, 2026 - mdpi.com",[],https://www.mdpi.com/2079-9292/15/5/1125,unknown,unknown
