title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Shorter quantum circuits via single-qubit gate approximation,"V Kliuchnikov, K Lauter, R Minko, A Paetznick…",2023,82,"… diagonal unitaries, this is shown to be 3 logℓ(1/ε), where ℓ is a parameter determined by the number theoretic … In Section 3 we define six approximation problems: diagonal unitary …",Z-d3sBGowmcJ,"V Kliuchnikov, K Lauter, R Minko, A Paetznick… - Quantum, 2023 - quantum-journal.org",[],https://quantum-journal.org/papers/q-2023-12-18-1208/,unknown,unknown
Quantum compiling methods for fault-tolerant gate sets of dimension greater than two,A Glaudell,2019,5,"… circuits, I provide number-theoretic characterizations for certain restricted Clifford+T circuits by considering unitary … ourselves with quantum circuits which correspond to unitary evolution …",YdkBd91WC9sJ,A Glaudell - 2019 - search.proquest.com,[],https://search.proquest.com/openview/626420a05d3ebf9f62a7e537cc975cd5/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Groups of diagonal gates in the Clifford hierarchy,"L Feng, S Luo",2024,6,… To characterize quantum circuits based on their computational … Anderson studied the unitary groups that can be constructed … Our results show that some number-theoretic properties of …,1LiXEG9XD4sJ,"L Feng, S Luo - Theoretical and Mathematical Physics, 2024 - Springer",[],https://link.springer.com/article/10.1134/S0040577924120018,unknown,unknown
Number-theoretic characterizations of some restricted Clifford+ T circuits,"M Amy, AN Glaudell, NJ Ross",2020,58,"… be exactly represented by quantum circuits over the gate set {X,CX,CCX,H,CH}. As in the previous cases, we prove our characterization by showing that any unitary matrix of the form (6) …",nbHZlxxIyE8J,"M Amy, AN Glaudell, NJ Ross - Quantum, 2020 - quantum-journal.org",[],https://quantum-journal.org/papers/q-2020-04-06-252/,unknown,unknown
Catalytic embeddings of quantum circuits,"M Amy, M Crawford, AN Glaudell, ML Macasieb…",2023,15,"… by characterizing the unitary … , number-theoretic characterizations of expressivity have come to play a central role in a large number of practical frameworks and strategies for quantum …",q2gi_T0cEgwJ,"M Amy, M Crawford, AN Glaudell, ML Macasieb… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2305.07720,unknown,unknown
