title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Automated optimization of large quantum circuits with continuous parameters,"Y Nam, NJ Ross, Y Su, AM Childs, D Maslov",2018,329,… automated methods for optimizing quantum circuits of the size and type expected in quantum … We show how to handle continuous gate parameters and report a collection of fast …,xlqejK9QFCAJ,"Y Nam, NJ Ross, Y Su, AM Childs, D Maslov - npj Quantum Information, 2018 - nature.com",[],https://www.nature.com/articles/s41534-018-0072-4,unknown,unknown
Monte Carlo graph search for quantum circuit optimization,"B Rosenhahn, TJ Osborne",2023,23,… discrete gates and gates containing continuous variables. Several … method for the automatic discovery of quantum circuits. … This parameter should then be jointly optimized together with …,SdH4D-eYnOIJ,"B Rosenhahn, TJ Osborne - Physical Review A, 2023 - APS",[],https://journals.aps.org/pra/abstract/10.1103/PhysRevA.108.062615,unknown,unknown
Quantum circuit optimization with deep reinforcement learning,"T Fösel, MY Niu, F Marquardt, L Li",2021,280,… quantum circuits for arbitrary choices of their continuous … a Python framework to automate the process of identifying … as gate parameters in the underlying quantum circuit framework. …,Dz0wxtI1iCgJ,"T Fösel, MY Niu, F Marquardt, L Li - arXiv preprint arXiv:2103.07585, 2021 - arxiv.org",[],https://arxiv.org/abs/2103.07585,unknown,unknown
Automated optimization of large quantum circuits with continuous parameters,"AM Childs, D Maslov",1710,1,… automated methods for optimizing quantum circuits of the size and type expected in quantum … We show how to handle continuous gate parameters and report a collection of fast …,4o5e8K7cdTQJ,"AM Childs, D Maslov - arXiv preprint arXiv:1710.07345, 2017 - researchgate.net",[],https://www.researchgate.net/profile/Yunseong-Nam/publication/320564691_Automated_optimization_of_large_quantum_circuits_with_continuous_parameters/links/59f3d30eaca272607e29200b/Automated-optimization-of-large-quantum-circuits-with-continuous-parameters.pdf,unknown,unknown
QGo: Scalable quantum circuit optimization using automated synthesis,"XC Wu, MG Davis, FT Chong, C Iancu",2012,48,"… However, most current quantum devices can perform continuously varying gates. For … optimization is used to find parameters for the single-qubit gates to produce a fully instantiated …",nPVWaTIiKbEJ,"XC Wu, MG Davis, FT Chong, C Iancu - arXiv preprint arXiv:2012.09835, 2020 - arxiv.org",[],https://arxiv.org/abs/2012.09835,unknown,unknown
