title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Clifford recompilation for faster classical simulation of quantum circuits,"H Qassim, JJ Wallman, J Emerson",2019,28,"… We remark that the use of Pauli exponential version of Clifford and non-Clifford gates has … For a single qubit Pauli operator P, the optimal decomposition of eiθP into Clifford gates is …",NFWd9gN8eLgJ,"H Qassim, JJ Wallman, J Emerson - Quantum, 2019 - quantum-journal.org",[],https://quantum-journal.org/papers/q-2019-08-05-170/,unknown,unknown
Synthesis and Optimization of Encoding Circuits for Fault-Tolerant Quantum Computation,"T Peham, M Steinberg, R Wille, S Heußen",2026,0,"… same symbols for Pauli operators (or sets of Pauli operators) … a general Clifford circuit U from a set of basis Clifford gates Γ, … -qubit gates that optimize h, we only consider two-qubit gates …",wY5atf2ADUkJ,"T Peham, M Steinberg, R Wille, S Heußen - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.15266,unknown,unknown
Minimizing the Number of Two-qubit Gates in Clifford Circuits,K Volanto,2023,1,"… of this thesis, is to try to optimize the amount of CNOT gates (or other 2-qubit Clifford … This is because each qubit is separately affected by a Pauli gate, and two Pauli gates always either …",8vlaCf828WEJ,K Volanto - 2023 - aaltodoc.aalto.fi,[],https://aaltodoc.aalto.fi/items/23b4ffdc-8326-49cd-b4ef-eec35776c14a,unknown,unknown
Equivariant Reinforcement Learning for Clifford Quantum Circuit Synthesis,"R Yeung, A Kissinger, R Cornish",2026,0,"… six-qubit Clifford circuits, the largest regime for which optimal … is to synthesize Clifford circuits with as few gates as possible (… In our convention, row r records the binary Pauli string …",H_3Gcovr8XIJ,"R Yeung, A Kissinger, R Cornish - arXiv preprint arXiv:2605.10910, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.10910,unknown,unknown
Classification and Exact Local Masking in Finite-Field Clifford Dual-Unitary Circuits,BR Pahari,2026,0,"… We classify two-qudit finite-field Clifford dual-unitary gates and … , Clifford conjugation acts linearly on generalized Pauli labels … For a finite Pauli string P, read the first two symbols inward …",zxnV-7iTie0J,"BR Pahari - arXiv preprint arXiv:2607.00210, 2026 - arxiv.org",[],https://arxiv.org/abs/2607.00210,unknown,unknown
