title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Reinforcement Learning for Quantum Circuit Optimization: A Review,"A Kundu, A Sarkar, P Tiwari, S Feld",2026,0,"… shapes rather than discrete gate sequences are excluded. … current circuit (insertion, deletion, or rewriting of gates), whose … In contrast, CRLQAS subsumes gate identity into the gate-type …",JC8ODiHkuV8J,"A Kundu, A Sarkar, P Tiwari, S Feld - Openreview, 2026 - openreview.net",[],https://openreview.net/pdf?id=h6w1j1fjeZ,unknown,unknown
SSR: A Swapping-Sweeping-and-Rewriting Optimizer for Quantum Circuit Transformation,"Y Huang, X Zhou, F Meng, P Zhu, Y Luo…",2025,1,"… QCT algorithms to insert many SWAP gates into the original … permutation, we represent each chromosome as a sequence … to remain locally optimal after reinserting single-qubit gates, …",QzEKIsYSYmcJ,"Y Huang, X Zhou, F Meng, P Zhu, Y Luo… - ACM Transactions on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3828549,unknown,unknown
MLIR for Quantum Beyond Gate Cancellation: Quantum Circuit Mapping Reimagined,"M Reumann, Y Stade, R Wille, L Burgholzer",2026,0,"… QCO dialect implements a custom rewrite strategy that removes … -qubit gates increases, finding an optimal SWAP sequence … The search starts at the root node with an identity mapping, …",u-DKvcuUr_IJ,"M Reumann, Y Stade, R Wille, L Burgholzer - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2607.02616,unknown,unknown
Quantum circuit transformation and optimisation,Y Huang,2025,0,"… optimal qubit placements and adaptively inserts SWAP gates … -Rewrite (SSR) optimiser, a post-QCT optimisation framework … adaptively explores gate divisions and SWAP sequences. …",9WM5v5OiZ5cJ,Y Huang - 2025 - opus.lib.uts.edu.au,[],https://opus.lib.uts.edu.au/handle/10453/190929,unknown,unknown
A Heuristic for Linear Nearest Neighbor Realization of Quantum Circuits by SWAP Gate Insertion Using -Gate Lookahead,"A Kole, K Datta, I Sengupta",2016,82,"… In the present work we consider the optimization of quantum circuits using the well … map sequences of quantum gates from NCV library, to equivalent gates sequences corresponding to …",EFB0S6fAU8wJ,"A Kole, K Datta, I Sengupta - … and selected topics in circuits and …, 2016 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/7422167/,unknown,unknown
