family,strategy_name,n_instances,mean_gate_reduction,std_gate_reduction,mean_depth_reduction,std_depth_reduction,mean_cnot_reduction,mean_total_time_ms,std_total_time_ms,median_total_time_ms,mean_phase1_time_ms,mean_phase2_time_ms,pct_phase1_skipped,pct_phase2_skipped,mean_ceiling_proxy,mean_original_size,mean_optimized_size,speedup
Adder,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,0.8027599993511103,0.2129881667128136,0.784949996159412,0.0,0.0,100.0,100.0,0.0,15.025,15.025,12.598192495905634
Adder,naive,40,0.0,0.0,0.0,0.0,0.0,10.113324999838369,13.71475282735817,3.183450004144106,3.3920525005669333,3.324557500309311,0.0,0.0,0.0,15.025,15.025,12.598192495905634
CNOT,ceiling_aware,40,1.0,0.0,1.0,0.0,1.0,2.2559349999937695,1.7991391338442573,1.5062500024214387,1.728265000929241,0.0,0.0,100.0,24.0,48.0,0.0,2.177702372187434
CNOT,naive,40,1.0,0.0,1.0,0.0,1.0,4.91275500098709,5.139086603715722,2.6665000041248277,1.7256474988244008,1.4238349995139288,0.0,0.0,24.0,48.0,0.0,2.177702372187434
GHZ,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,0.48535250025452115,0.12060646114511311,0.45304999366635457,0.0,0.0,100.0,100.0,0.0,7.0,7.0,5.181718443921755
GHZ,naive,40,0.0,0.0,0.0,0.0,0.0,2.5149600023723906,2.1291956287063134,1.8405000082566398,0.7321825003600679,0.737690000096336,0.0,0.0,0.0,7.0,7.0,5.181718443921755
Grover,ceiling_aware,40,0.019384806546351163,0.029461020653545306,0.0022727272727272726,0.014373989364401723,0.0,15.141440000661532,33.89021904861977,2.8117000038037077,0.0,12.831749999531894,100.0,60.0,0.0,48.3,47.45,6.176500880668564
Grover,naive,40,0.019384806546351163,0.029461020653545306,0.0022727272727272726,0.014373989364401723,0.0,93.52111749867618,136.84228685110207,18.939399997179862,30.30858750171319,30.838285000572796,0.0,0.0,0.0,48.3,47.45,6.176500880668564
HaarRandom,ceiling_aware,10,0.0,0.0,0.0,0.0,0.0,10.616670000308659,2.5878954107935224,10.661600004823413,0.0,0.0,100.0,100.0,0.0,275.0,275.0,14.655192258677875
HaarRandom,naive,10,0.0,0.0,0.0,0.0,0.0,155.5893400014611,15.445745237233503,160.84425000008196,46.91058000025805,59.67798000056064,0.0,0.0,0.0,275.0,275.0,14.655192258677875
