schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,benchmark_suite,n_qubits,depth,gate_count_total,gate_count_1q,gate_count_2q,gate_count_multiq,gate_counts_json,compiled_depth,compiled_gate_counts_json,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,fidelity,success,runtime_seconds,optimizer,optimizer_version,optimizer_config_json,compiler,compiler_version,compiler_optimization_level,compiler_config_id,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,env_id,notes
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.127471+00:00,hardware_eff_3,HardwareEfficient,hardware_efficient,extended_v5_smoke,3,4,8,6,2,0,"{""cx"":2,""ry"":3,""rz"":3}",3,"{""cx"":2,""u3"":3}",8,5,0.375,37.5,1.0,True,0.003918647766113281,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,6,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,b709108e49121262a7bd1442a340e4ff0e27a5ffa45c9e03733cd523d15478ea,055be247a0ba1852a483b819776176b03d75cb571e3b94099922930e5d0c20f4,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.135476+00:00,hardware_eff_3,HardwareEfficient,hardware_efficient,extended_v5_smoke,3,4,8,6,2,0,"{""cx"":2,""ry"":3,""rz"":3}",3,"{""cx"":2,""u3"":3}",8,5,0.375,37.5,1.0,True,0.0070037841796875,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,6,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,b709108e49121262a7bd1442a340e4ff0e27a5ffa45c9e03733cd523d15478ea,055be247a0ba1852a483b819776176b03d75cb571e3b94099922930e5d0c20f4,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.143481+00:00,hardware_eff_3,HardwareEfficient,hardware_efficient,extended_v5_smoke,3,4,8,6,2,0,"{""cx"":2,""ry"":3,""rz"":3}",3,"{""cx"":2,""u3"":3}",8,5,0.375,37.5,1.0,True,0.0070078372955322266,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,6,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,b709108e49121262a7bd1442a340e4ff0e27a5ffa45c9e03733cd523d15478ea,055be247a0ba1852a483b819776176b03d75cb571e3b94099922930e5d0c20f4,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.151943+00:00,grover_3,Grover,grover,extended_v5_smoke,3,11,23,21,0,2,"{""ccx"":2,""h"":13,""x"":8}",11,"{""ccx"":2,""h"":13,""x"":8}",23,23,0.0,0.0,0.999999999999996,True,0.003443479537963867,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,7,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,4919c6a54e51fe092d959dc79954a48e23b877bb12ed03b45dc4b47a72222587,7209d56a6c1208f855dbf438928508f9e6828f4d4ff41f82273a09854409f1fe,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.158837+00:00,grover_3,Grover,grover,extended_v5_smoke,3,11,23,21,0,2,"{""ccx"":2,""h"":13,""x"":8}",5,"{""ccx"":2,""h"":1,""u1"":1,""u2"":6}",23,10,0.5652173913043479,56.52173913043479,0.9999999999999974,True,0.005007028579711914,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,7,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,4919c6a54e51fe092d959dc79954a48e23b877bb12ed03b45dc4b47a72222587,2171735abd0018b5c24bbaa6271e3895fa4855dc328d0b1fb51749835a018d39,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.168925+00:00,grover_3,Grover,grover,extended_v5_smoke,3,11,23,21,0,2,"{""ccx"":2,""h"":13,""x"":8}",5,"{""ccx"":2,""h"":1,""u1"":1,""u2"":6}",23,10,0.5652173913043479,56.52173913043479,0.9999999999999974,True,0.007109403610229492,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,7,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,4919c6a54e51fe092d959dc79954a48e23b877bb12ed03b45dc4b47a72222587,2171735abd0018b5c24bbaa6271e3895fa4855dc328d0b1fb51749835a018d39,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.177836+00:00,grover_3,Grover,grover,extended_v5_smoke,3,11,23,21,0,2,"{""ccx"":2,""h"":13,""x"":8}",5,"{""ccx"":2,""h"":1,""u1"":1,""u2"":6}",23,10,0.5652173913043479,56.52173913043479,0.9999999999999974,True,0.0070073604583740234,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,7,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,4919c6a54e51fe092d959dc79954a48e23b877bb12ed03b45dc4b47a72222587,2171735abd0018b5c24bbaa6271e3895fa4855dc328d0b1fb51749835a018d39,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.181840+00:00,adder_3,Adder,quantum_adder,extended_v5_smoke,4,6,6,1,2,3,"{""ccx"":3,""cx"":2,""x"":1}",6,"{""ccx"":3,""cx"":2,""x"":1}",6,6,0.0,0.0,1.0,True,0.0019989013671875,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,8,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.186840+00:00,adder_3,Adder,quantum_adder,extended_v5_smoke,4,6,6,1,2,3,"{""ccx"":3,""cx"":2,""x"":1}",6,"{""ccx"":3,""cx"":2,""x"":1}",6,6,0.0,0.0,1.0,True,0.0039980411529541016,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,8,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.196344+00:00,adder_3,Adder,quantum_adder,extended_v5_smoke,4,6,6,1,2,3,"{""ccx"":3,""cx"":2,""x"":1}",6,"{""ccx"":3,""cx"":2,""x"":1}",6,6,0.0,0.0,1.0,True,0.008999824523925781,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,8,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,e12_smoke_20260622_034413_nocoupling,
