schema_version,experiment_id,run_id,timestamp_utc,mode,n_qubits,depth,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,runtime_seconds,success
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.931678+00:00,full,5,1,13,42000113,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999991,0.0027642250061035156,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.935190+00:00,full,5,1,13,42000113,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999991,0.003511667251586914,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.939191+00:00,full,5,1,14,42000114,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.002995014190673828,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.941191+00:00,full,5,1,14,42000114,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0019998550415039062,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.950190+00:00,full,5,1,15,42000115,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.007999420166015625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.954191+00:00,full,5,1,15,42000115,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0040018558502197266,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.957192+00:00,full,5,1,16,42000116,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0020008087158203125,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.960194+00:00,full,5,1,16,42000116,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.003001689910888672,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.964194+00:00,full,5,1,17,42000117,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0030031204223632812,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.967229+00:00,full,5,1,17,42000117,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0030350685119628906,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.970888+00:00,full,5,1,18,42000118,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.00266265869140625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.973887+00:00,full,5,1,18,42000118,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0019996166229248047,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.977888+00:00,full,5,1,19,42000119,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999987,0.0030019283294677734,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.980888+00:00,full,5,1,19,42000119,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999987,0.003000497817993164,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.984522+00:00,full,5,1,20,42000120,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.002634286880493164,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.987039+00:00,full,5,1,20,42000120,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002516508102416992,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.990038+00:00,full,5,1,21,42000121,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999984,0.0019996166229248047,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.996039+00:00,full,5,1,21,42000121,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999984,0.0060002803802490234,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.999046+00:00,full,5,1,22,42000122,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0020008087158203125,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.001047+00:00,full,5,1,22,42000122,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002001047134399414,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.006075+00:00,full,5,1,23,42000123,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999989,0.0030286312103271484,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.009074+00:00,full,5,1,23,42000123,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999989,0.0029985904693603516,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.016143+00:00,full,5,1,24,42000124,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0039997100830078125,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.018143+00:00,full,5,1,24,42000124,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.002000570297241211,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.021608+00:00,full,5,1,25,42000125,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0024650096893310547,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.023615+00:00,full,5,1,25,42000125,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002007722854614258,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.027614+00:00,full,5,1,26,42000126,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999989,0.002999544143676758,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.032614+00:00,full,5,1,26,42000126,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999989,0.0049991607666015625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.035614+00:00,full,5,1,27,42000127,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0019998550415039062,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.036614+00:00,full,5,1,27,42000127,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.0010006427764892578,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.039614+00:00,full,5,1,28,42000128,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.002000093460083008,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.043620+00:00,full,5,1,28,42000128,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.004006385803222656,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.047621+00:00,full,5,1,29,42000129,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0000000000000004,0.003000497817993164,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.050621+00:00,full,5,1,29,42000129,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0000000000000004,0.0030002593994140625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.053690+00:00,full,5,1,30,42000130,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999984,0.002008199691772461,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.057203+00:00,full,5,1,30,42000130,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999984,0.0035130977630615234,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.059781+00:00,full,5,1,31,42000131,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0015788078308105469,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.068089+00:00,full,5,1,31,42000131,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.008307695388793945,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:26.076385+00:00,full,5,1,32,42000132,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.007288694381713867,True
