n_qubits,case,samples,seed,exact_fidelity,estimated_fidelity,absolute_error
3,local_x,1000,45,0.1111111111111111,0.1146881536928199,0.0035770425817087947
3,entangling_cx,1000,45,0.3333333333333333,0.33153423800812276,0.0017990953252105535
5,local_x,1000,47,0.030303030303030304,0.030241355959713754,6.167434331654995e-05
5,entangling_cx,1000,47,0.2727272727272727,0.27913262021173285,0.006405347484460144
8,local_x,1000,50,0.0038910505836575876,0.00369644416409898,0.00019460641955860742
8,entangling_cx,1000,50,0.2529182879377432,0.2551233565936587,0.002205068655915521
