experiment,n_qubits,depth,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
4,5,15,32,74,ga,75,0.5916627764215089,0.3380930150980051,75,77,-0.026666666666666616,0.9999999999999944,False,5.814126491546631,3.0.0
4,5,15,33,75,greedy,75,1.517921963368415,0.8673839790676656,75,75,0.0,0.9999999999999931,False,0.002236604690551758,3.0.0
4,5,15,33,75,rls,75,1.517921963368415,0.8673839790676656,75,75,0.0,0.9999999999999933,False,5.883061408996582,3.0.0
4,5,15,33,75,sa,75,1.517921963368415,0.8673839790676656,75,75,0.0,0.9999999999999931,False,2.1412997245788574,3.0.0
4,5,15,33,75,ga,75,1.517921963368415,0.8673839790676656,75,75,0.0,0.9999999999999933,False,6.278676986694336,3.0.0
4,5,15,34,76,greedy,75,1.0000000000000013,0.5714285714285722,75,75,0.0,0.9999999999999936,False,0.0027904510498046875,3.0.0
4,5,15,34,76,rls,75,1.0000000000000013,0.5714285714285722,75,75,0.0,0.999999999999994,False,7.705182313919067,3.0.0
4,5,15,34,76,sa,75,1.0000000000000013,0.5714285714285722,75,81,-0.08000000000000007,0.999999999999994,False,2.075204610824585,3.0.0
4,5,15,34,76,ga,75,1.0000000000000013,0.5714285714285722,75,75,0.0,0.9999999999999936,False,5.7570977210998535,3.0.0
4,5,15,35,77,greedy,75,1.717384979570024,0.9813628454685851,75,75,0.0,0.9999999999999944,False,0.0019812583923339844,3.0.0
4,5,15,35,77,rls,75,1.717384979570024,0.9813628454685851,75,75,0.0,0.9999999999999944,False,5.16611909866333,3.0.0
4,5,15,35,77,sa,75,1.717384979570024,0.9813628454685851,75,87,-0.15999999999999992,0.9999999999999947,False,2.171847343444824,3.0.0
4,5,15,35,77,ga,75,1.717384979570024,0.9813628454685851,75,75,0.0,0.9999999999999944,False,6.261990785598755,3.0.0
4,5,15,36,78,greedy,75,0.8298679239962434,0.4742102422835677,75,75,0.0,0.9999999999999931,False,0.002390146255493164,3.0.0
4,5,15,36,78,rls,75,0.8298679239962434,0.4742102422835677,75,75,0.0,0.9999999999999931,False,5.11725115776062,3.0.0
4,5,15,36,78,sa,75,0.8298679239962434,0.4742102422835677,75,75,0.0,0.9999999999999931,False,2.2898457050323486,3.0.0
4,5,15,36,78,ga,75,0.8298679239962434,0.4742102422835677,75,75,0.0,0.9999999999999931,False,5.849106311798096,3.0.0
4,5,15,37,79,greedy,75,1.2855755414768866,0.7346145951296494,75,75,0.0,0.9999999999999931,False,0.0021102428436279297,3.0.0
4,5,15,37,79,rls,75,1.2855755414768866,0.7346145951296494,75,75,0.0,0.9999999999999931,False,4.888200998306274,3.0.0
4,5,15,37,79,sa,75,1.2855755414768866,0.7346145951296494,75,75,0.0,0.9999999999999931,False,2.2240586280822754,3.0.0
4,5,15,37,79,ga,75,1.2855755414768866,0.7346145951296494,75,75,0.0,0.9999999999999931,False,6.053479433059692,3.0.0
4,5,15,38,80,greedy,75,1.8872623945026392,1.078435654001508,75,75,0.0,0.9999999999999944,False,0.0015616416931152344,3.0.0
4,5,15,38,80,rls,75,1.8872623945026392,1.078435654001508,75,75,0.0,0.9999999999999948,False,5.075024843215942,3.0.0
