experiment,n_qubits,depth,circuit_id,sample,base_entropy,perturbed_entropy,entropy_diff,base_gates,perturbed_gates,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
5,5,3,0,0,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999996,False,0.0010004043579101562,3.0.0
5,5,3,0,1,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,15,15,0.0,0.9999999999999991,False,0.0004582405090332031,3.0.0
5,5,3,0,2,4.805139755722375e-16,1.0000000000000002,0.9999999999999998,15,15,15,0.0,0.9999999999999998,False,0.0010006427764892578,3.0.0
5,5,3,0,3,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999998,False,0.0005066394805908203,3.0.0
5,5,3,0,4,4.805139755722375e-16,4.805139755722375e-16,0.0,15,14,14,0.0,0.9999999999999998,False,0.0,3.0.0
5,5,3,0,5,4.805139755722375e-16,6.406853007629834e-16,1.6017132519074593e-16,15,15,14,0.06666666666666665,0.9999999999999996,False,0.002298593521118164,3.0.0
5,5,3,0,6,4.805139755722375e-16,4.805139755722375e-16,0.0,15,14,14,0.0,0.9999999999999998,False,0.0010073184967041016,3.0.0
5,5,3,0,7,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,15,15,0.0,0.9999999999999996,False,0.0011255741119384766,3.0.0
5,5,3,0,8,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999998,False,0.001470327377319336,3.0.0
5,5,3,0,9,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999998,False,0.0010001659393310547,3.0.0
5,5,3,0,10,4.805139755722375e-16,1.6017132519074586e-16,3.2034265038149167e-16,15,14,14,0.0,1.0,False,0.0009980201721191406,3.0.0
5,5,3,0,11,4.805139755722375e-16,1.6017132519074586e-16,3.2034265038149167e-16,15,15,15,0.0,1.0,False,0.0018966197967529297,3.0.0
5,5,3,0,12,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,15,15,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,13,4.805139755722375e-16,4.805139755722375e-16,0.0,15,14,14,0.0,0.9999999999999996,False,0.0009999275207519531,3.0.0
5,5,3,0,14,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,1.0,False,0.0005068778991699219,3.0.0
5,5,3,0,15,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,1.0,False,0.0005393028259277344,3.0.0
5,5,3,0,16,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999996,False,0.0010082721710205078,3.0.0
5,5,3,0,17,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999998,False,0.0009999275207519531,3.0.0
5,5,3,0,18,4.805139755722375e-16,-3.2034265038149176e-16,8.008566259537293e-16,15,14,14,0.0,0.9999999999999996,False,0.0010006427764892578,3.0.0
5,5,3,0,19,4.805139755722375e-16,6.406853007629834e-16,1.6017132519074593e-16,15,15,15,0.0,0.9999999999999996,False,0.0014064311981201172,3.0.0
5,5,3,0,20,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,1.0,False,0.0,3.0.0
5,5,3,0,21,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999998,False,0.001004934310913086,3.0.0
5,5,3,0,22,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999998,False,0.0005049705505371094,3.0.0
5,5,3,0,23,4.805139755722375e-16,-3.2034265038149176e-16,8.008566259537293e-16,15,14,14,0.0,0.9999999999999996,False,0.0010063648223876953,3.0.0
5,5,3,0,24,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,25,4.805139755722375e-16,4.805139755722375e-16,0.0,15,14,14,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,26,4.805139755722375e-16,6.406853007629834e-16,1.6017132519074593e-16,15,15,15,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,27,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,28,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,29,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,1.0,False,0.0014541149139404297,3.0.0
5,5,3,0,30,4.805139755722375e-16,1.4415419267167124e-15,9.610279511444748e-16,15,14,14,0.0,0.9999999999999996,False,0.0009481906890869141,3.0.0
5,5,3,0,31,4.805139755722375e-16,1.0000000000000002,0.9999999999999998,15,15,15,0.0,0.9999999999999998,False,0.0005080699920654297,3.0.0
5,5,3,0,32,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999996,False,0.0005247592926025391,3.0.0
5,5,3,0,33,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999996,False,0.0010113716125488281,3.0.0
5,5,3,0,34,4.805139755722375e-16,8.008566259537292e-16,3.2034265038149167e-16,15,15,15,0.0,0.9999999999999993,False,0.0,3.0.0
5,5,3,0,35,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,13,0.1333333333333333,0.9999999999999996,False,0.0014064311981201172,3.0.0
5,5,3,0,36,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,0.9999999999999996,False,0.0009999275207519531,3.0.0
5,5,3,0,37,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,1.0,False,0.0009984970092773438,3.0.0
5,5,3,0,38,4.805139755722375e-16,1.6017132519074586e-16,3.2034265038149167e-16,15,15,15,0.0,1.0,False,0.0005893707275390625,3.0.0
5,5,3,0,39,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999998,False,0.0,3.0.0
5,5,3,0,40,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999993,False,0.001008749008178711,3.0.0
5,5,3,0,41,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999996,False,0.0005047321319580078,3.0.0
5,5,3,0,42,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999996,False,0.0006194114685058594,3.0.0
5,5,3,0,43,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,15,14,0.06666666666666665,0.9999999999999998,False,0.0015637874603271484,3.0.0
5,5,3,0,44,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999998,False,0.0004699230194091797,3.0.0
5,5,3,0,45,4.805139755722375e-16,4.805139755722375e-16,0.0,15,14,14,0.0,0.9999999999999998,False,0.0014393329620361328,3.0.0
5,5,3,0,46,4.805139755722375e-16,-3.2034265038149176e-16,8.008566259537293e-16,15,14,14,0.0,0.9999999999999996,False,0.0005059242248535156,3.0.0
5,5,3,0,47,4.805139755722375e-16,1.0,0.9999999999999996,15,15,15,0.0,0.9999999999999996,False,0.0010006427764892578,3.0.0
5,5,3,0,48,4.805139755722375e-16,4.805139755722375e-16,0.0,15,15,15,0.0,0.9999999999999996,False,0.0005285739898681641,3.0.0
5,5,3,0,49,4.805139755722375e-16,0.6422975499591147,0.6422975499591143,15,15,15,0.0,1.0,False,0.0,3.0.0
5,5,3,0,50,4.805139755722375e-16,1.0,0.9999999999999996,15,15,15,0.0,0.9999999999999991,False,0.0010068416595458984,3.0.0
5,5,3,0,51,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,52,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999996,False,0.0019996166229248047,3.0.0
5,5,3,0,53,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,14,14,0.0,0.9999999999999996,False,0.0010063648223876953,3.0.0
5,5,3,0,54,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,15,15,0.0,1.0,False,0.0005059242248535156,3.0.0
5,5,3,0,55,4.805139755722375e-16,0.8844497746552988,0.8844497746552984,15,15,15,0.0,0.9999999999999996,False,0.0010006427764892578,3.0.0
5,5,3,0,56,4.805139755722375e-16,-0.0,4.805139755722375e-16,15,14,14,0.0,0.9999999999999996,False,0.0,3.0.0
5,5,3,0,57,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,15,15,0.0,0.9999999999999996,False,0.0009999275207519531,3.0.0
5,5,3,0,58,4.805139755722375e-16,3.2034265038149176e-16,1.6017132519074573e-16,15,15,15,0.0,0.9999999999999998,False,0.0015146732330322266,3.0.0
5,5,3,0,59,4.805139755722375e-16,1.4415419267167124e-15,9.610279511444748e-16,15,14,14,0.0,0.9999999999999996,False,0.0010116100311279297,3.0.0
