experiment,n_qubits,depth,entanglement_density,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
2,6,20,0.0,0,42,120,9.450108186253977e-15,3.7800432745015906e-15,120,120,0.0,0.9999999999999873,False,0.005315303802490234,3.0.0
2,6,20,0.0,1,43,120,1.0090793487016954e-14,4.036317394806782e-15,120,120,0.0,0.9999999999999856,False,0.0038688182830810547,3.0.0
2,6,20,0.0,2,44,120,1.0891650112970679e-14,4.356660045188272e-15,120,120,0.0,0.9999999999999871,False,0.013379573822021484,3.0.0
2,6,20,0.0,3,45,120,8.168737584728017e-15,3.2674950338912067e-15,120,120,0.0,0.9999999999999869,False,0.004009246826171875,3.0.0
2,6,20,0.0,4,46,120,1.057130746258919e-14,4.228522985035676e-15,120,120,0.0,0.9999999999999873,False,0.004196643829345703,3.0.0
2,6,20,0.0,5,47,120,8.008566259537273e-15,3.203426503814909e-15,120,120,0.0,0.9999999999999887,False,0.004132986068725586,3.0.0
2,6,20,0.0,6,48,120,7.047538308392801e-15,2.8190153233571205e-15,120,120,0.0,0.9999999999999912,False,0.009521484375,3.0.0
2,6,20,0.0,7,49,120,1.0731478787779933e-14,4.2925915151119736e-15,120,120,0.0,0.9999999999999858,False,0.008528947830200195,3.0.0
2,6,20,0.0,8,50,120,7.207709633583546e-15,2.8830838534334185e-15,120,120,0.0,0.9999999999999891,False,0.006929636001586914,3.0.0
2,6,20,0.0,9,51,120,1.1051821438161424e-14,4.4207285752645696e-15,120,120,0.0,0.9999999999999856,False,0.004736661911010742,3.0.0
2,6,20,0.0,10,52,120,1.121199276335217e-14,4.484797105340868e-15,120,120,0.0,0.9999999999999847,False,0.00690770149230957,3.0.0
2,6,20,0.0,11,53,120,8.969594210681742e-15,3.587837684272697e-15,120,120,0.0,0.9999999999999862,False,0.006992340087890625,3.0.0
2,6,20,0.0,12,54,120,7.848394934346527e-15,3.1393579737386108e-15,120,120,0.0,0.9999999999999891,False,0.004118442535400391,3.0.0
2,6,20,0.0,13,55,120,8.168737584728017e-15,3.2674950338912067e-15,120,120,0.0,0.9999999999999871,False,0.0037832260131835938,3.0.0
2,6,20,0.0,14,56,120,1.3294219990831846e-14,5.317687996332738e-15,120,120,0.0,0.9999999999999829,False,0.006513833999633789,3.0.0
2,6,20,0.0,15,57,120,1.02509648122077e-14,4.10038592488308e-15,120,120,0.0,0.9999999999999849,False,0.004470348358154297,3.0.0
2,6,20,0.0,16,58,120,6.727195658011311e-15,2.6908782632045245e-15,120,120,0.0,0.9999999999999882,False,0.005136013031005859,3.0.0
2,6,20,0.0,17,59,120,9.289936861063231e-15,3.715974744425292e-15,120,120,0.0,0.9999999999999856,False,0.00400853157043457,3.0.0
2,6,20,0.0,18,60,120,8.168737584728017e-15,3.2674950338912067e-15,120,120,0.0,0.9999999999999893,False,0.00570368766784668,3.0.0
2,6,20,0.0,19,61,120,5.1254824061038595e-15,2.050192962441544e-15,120,120,0.0,0.999999999999991,False,0.00400090217590332,3.0.0
2,6,20,0.0,20,62,120,7.367880958774292e-15,2.947152383509717e-15,120,120,0.0,0.9999999999999891,False,0.004559040069580078,3.0.0
2,6,20,0.0,21,63,120,8.489080235109506e-15,3.3956320940438023e-15,120,120,0.0,0.9999999999999887,False,0.006724119186401367,3.0.0
2,6,20,0.0,22,64,120,6.887366983202056e-15,2.7549467932808225e-15,120,120,0.0,0.9999999999999882,False,0.008932828903198242,3.0.0
2,6,20,0.0,23,65,120,9.930622161826211e-15,3.972248864730485e-15,120,120,0.0,0.9999999999999858,False,0.007471561431884766,3.0.0
2,6,20,0.0,24,66,120,6.0865103572483304e-15,2.4346041428993322e-15,120,120,0.0,0.999999999999991,False,0.006512880325317383,3.0.0
2,6,20,0.0,25,67,120,5.926339032057585e-15,2.3705356128230343e-15,120,120,0.0,0.9999999999999899,False,0.004668712615966797,3.0.0
2,6,20,0.0,26,68,120,8.008566259537273e-15,3.203426503814909e-15,120,120,0.0,0.9999999999999889,False,0.0046274662017822266,3.0.0
2,6,20,0.0,27,69,120,9.289936861063231e-15,3.715974744425292e-15,120,120,0.0,0.9999999999999862,False,0.004518985748291016,3.0.0
2,6,20,0.0,28,70,120,8.328908909918763e-15,3.331563563967505e-15,120,120,0.0,0.9999999999999887,False,0.0044286251068115234,3.0.0
2,6,20,0.0,29,71,120,8.649251560300252e-15,3.4597006241201007e-15,120,120,0.0,0.9999999999999882,False,0.004637241363525391,3.0.0
