budget_seconds,circuit_family,circuit_id,common_basis_gate_reduction_pct,design_manifest_sha256,exact_fidelity,input_circuit_sha256,listing_model,optimized_common_basis_gate_count,optimizer_runtime_seconds,original_common_basis_gate_count,output_circuit_sha256,peak_rss_mb,primary_pair_orientation,protocol_sha256,rule_set,run_id,run_order,status,template_enabled,trace,valid_equivalent_output,wall_seconds_end_to_end,window_gates
1,IQP,iqp_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,400ce4e70469d8d27ab3ac5495866397a68ae2ee6ba481d37cd7f7e03df762d3,RANDOM_TOPOLOGICAL,,,,,100.30859375,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,88866bfc056fd999fb8f3f497d6d2b79738839aab5736bd9ebc611d0125d7845,10,timeout,,[],False,1.0328894000012951,64
1,QuantumWalk,qwalk_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,b48696525dc16ace3d17f7656e6602f2710e54d030274a737712c3dc966a5f93,LBL,,,,,98.35546875,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,63693367c0dd9fe9b6584a172e9b24b11abd593f6d7761b4d46883be3059e355,11,timeout,,[],False,1.0310915999980352,4
120,Adder,adder_3,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,1.0,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,WCL,60.0,0.0,60.0,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,142.8359375,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,c5bcfe6d30c6d52f4d0a3f044d9840f41ca64a918f0cc1fed1b7ef4d74019504,12,success,False,"[{'cz_conversions': 0, 'gate_count': 6, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.311308899999858,16
10,IQP,iqp_4,23.529411764705888,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999983,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,LBL,52.0,0.006082296371459961,68.0,a6cc3c914f0cb13a42ecf741fb44c4df16e079dbaef581339ec6526bb6d3f7fa,143.13671875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,fa4fae2684c4881fbe8d89c1fb5f21a9997b657ddb7448deba0bd45e88d62049,13,success,True,"[{'cz_conversions': 0, 'gate_count': 18, 'h_reorders': 2, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 1, 'mcz_conversions': 0, 'pair_gathers': 6, 'phase_merges': 2, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 18, 'h_reorders': 2, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.0745538999981363,4
30,HaarRandom,haar_4,0.4366812227074246,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999962,95300c7f12f75049fd4f840f8155f54ae4f02dfc980112dcf6f32aa7fa26c259,RANDOM_TOPOLOGICAL,684.0,0.05465555191040039,687.0,67349c4befa481d41450473b7792cbfa48ba75af84d1d18ac7e7ea3f9d293a18,143.390625,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,0530f3e9edaf2bc69f8f59edb9ede0044335fe36d8841ed56ed21bf8ceb0ebb6,14,success,False,"[{'cz_conversions': 0, 'gate_count': 272, 'h_reorders': 10, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 55, 'phase_merges': 3, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 272, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.1879947999987053,64
120,QAOA,qaoa_line_8,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,1.0000000000000018,688a54258c5fc58844911584b848f67ef97f01928a47184b30d01cdff70937e2,RANDOM_TOPOLOGICAL,218.0,0.011382102966308594,218.0,7f04aa195a49493e28035bedd2530115312faac46fab4fb1ce0a161e875845c4,143.1640625,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,752d7c4febc93cc5828f71f773f1378c22842ff27ea548b632d75a295291248f,15,success,False,"[{'cz_conversions': 0, 'gate_count': 66, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.1839064999985567,4
30,QAOA,qaoa_line_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999998,7ca61cc51f86f8358466b512f82fdd1bedfd46f4ebc65d118de7a2b190605e78,RANDOM_TOPOLOGICAL,160.0,0.0,160.0,676cf4292068599786c0d18be83950452d04bc8189694b576f3fc4eaeba0ff14,142.9609375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,47acbecab823129608bba6303e6e781c22ea379a283c18f91267fe64332197d3,16,success,False,"[{'cz_conversions': 0, 'gate_count': 48, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.045607000000018,4
120,VQE,vqe_twolocal_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,1.0000000000000009,4c91554a6a7a29ac388f41e86df4db15dc97853874c7d6e7defca805db616d06,WCL,190.0,0.0,190.0,4c91554a6a7a29ac388f41e86df4db15dc97853874c7d6e7defca805db616d06,143.05859375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,4ac335bdd1e3c75624a9ce461d768b78c17e794f018821bfe5ebf9bb9c60e376,17,success,True,"[{'cz_conversions': 0, 'gate_count': 46, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.160163000000466,4
1,Oracle,bv_3,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,LBL,,,,,97.09765625,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,c3cb4b7f2d3f21377ba0be341de76f3d9ec2b73d930a8b8d40205d98698ab418,18,timeout,,[],False,1.0521379000019806,16
30,VQE,vqe_twolocal_4,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,1.0,b15d50df71933b4745ec5799d5ef54fb7c162bc3ca92e983a8aeafe41413e0a6,RANDOM_TOPOLOGICAL,126.0,0.015180349349975586,126.0,b365d532b97cc37e8d6aa48eb13bc6d76d00640a8e14ee48846e424b87fa8686,143.1875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,85b1b32115055d08104b854cf5547bd095bbef38a8600ae317534fad397a0e60,19,success,False,"[{'cz_conversions': 0, 'gate_count': 30, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.303932300001179,16
1,RandomClifford,clifford_8,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,ccdc8f9f8df42bd9ba725c7a01cb969824ddf0f3041bb56bc2f91791a8b9db06,WCL,,,,,101.7734375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,7c26929ad1628f5e8988ad0c0e0c90d4b64c670dd95bfb052673bc431667f972,20,timeout,,[],False,1.048869599999307,4
1,QuantumWalk,qwalk_7,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,f4b0bcb6432520607dadb467eb5e704c725dfbb16639473eee8c5a019635e799,RANDOM_TOPOLOGICAL,,,,,96.36328125,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,998a52b9114f07e346e1ee0c4afd78fdc24927c3db504b7a31a29d1c047c7655,21,timeout,,[],False,1.031003399999463,16
1,QAOA,qaoa_line_8,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,8a29549e2e2fa7f01199af622b2eca0054357c598c80d4060397da27d98f6196,RANDOM_TOPOLOGICAL,,,,,93.1640625,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,2c7e3c64c9e9c3b315b474919f2712f8b8aeecf599b14d7f00a751636bc4b88b,22,timeout,,[],False,1.02817800000048,64
1,QuantumWalk,qwalk_5,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,5a934ea58cefe89266217b8814d0f05d97ee7364560c39b14857c236af49988b,WCL,,,,,86.71875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,333d82b6799c633e302457ceb44549a2af3318c393b15b9a933ad531357f18a7,23,timeout,,[],False,1.0530605999992986,4
30,Oracle,bv_6,89.36170212765957,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999973,819de267fab80716cb86e286e98db600de07f39e06fb46f98a0783888e0e19a6,RANDOM_TOPOLOGICAL,5.0,0.002004861831665039,47.0,5c7a0a5056d9b7808d675d1dfb3df722e99df82cb1ceaf87794d8af76d3af0b4,143.0234375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,907ba6d14b4c55fe5b46846d4026835a03e370f0810afe906450ac9ee9b82fca,24,success,True,"[{'cz_conversions': 0, 'gate_count': 5, 'h_reorders': 20, 'hh_cancellations': 7, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 15, 'phase_merges': 0, 'template_rewrites': 3}, {'cz_conversions': 0, 'gate_count': 5, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.1143088000026182,16
