experiment_id,mode,n_qubits,depth,seed_index,seed_base,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
E29_multi_seed_e04,smoke,5,15,0,42,0,42,greedy,75,1.5470149121860555,0.8840085212491745,75,75,0.0,0.9999999999999944,True,0.0013074874877929688,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,0,42,rls,75,1.5470149121860555,0.8840085212491745,75,195,-1.6,0.9999999999999922,True,13.107694387435913,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,0,42,sa,75,1.5470149121860555,0.8840085212491745,75,105,-0.3999999999999999,0.9999999999999933,True,1.8687396049499512,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,0,42,ga,75,1.5470149121860555,0.8840085212491745,75,79,-0.05333333333333323,0.9999999999999944,True,5.012807130813599,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,1,43,greedy,75,1.0947803352325343,0.6255887629900195,75,75,0.0,0.9999999999999936,True,0.001588582992553711,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,1,43,rls,75,1.0947803352325343,0.6255887629900195,75,209,-1.7866666666666666,0.9999999999999911,True,12.112970113754272,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,1,43,sa,75,1.0947803352325343,0.6255887629900195,75,83,-0.10666666666666669,0.9999999999999933,True,1.7452046871185303,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,1,43,ga,75,1.0947803352325343,0.6255887629900195,75,83,-0.10666666666666669,0.9999999999999929,True,5.487025737762451,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,2,44,greedy,75,0.8808309746696269,0.5033319855255011,75,75,0.0,0.9999999999999938,True,0.002120494842529297,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,2,44,rls,75,0.8808309746696269,0.5033319855255011,75,199,-1.6533333333333333,0.9999999999999897,True,11.463599443435669,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,2,44,sa,75,0.8808309746696269,0.5033319855255011,75,83,-0.10666666666666669,0.9999999999999938,True,1.7580413818359375,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,2,44,ga,75,0.8808309746696269,0.5033319855255011,75,81,-0.08000000000000007,0.9999999999999938,True,5.248379230499268,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,3,45,greedy,75,1.2366509879463274,0.7066577073979013,75,75,0.0,0.9999999999999948,True,0.0010726451873779297,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,3,45,rls,75,1.2366509879463274,0.7066577073979013,75,207,-1.7599999999999998,0.9999999999999918,True,11.69191598892212,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,3,45,sa,75,1.2366509879463274,0.7066577073979013,75,85,-0.1333333333333333,0.9999999999999944,True,2.1157643795013428,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,3,45,ga,75,1.2366509879463274,0.7066577073979013,75,81,-0.08000000000000007,0.9999999999999948,True,5.129049062728882,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,4,46,greedy,75,1.674178958638939,0.9566736906508223,75,75,0.0,0.9999999999999948,True,0.0006890296936035156,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,4,46,rls,75,1.674178958638939,0.9566736906508223,75,209,-1.7866666666666666,0.9999999999999913,True,10.878262519836426,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,4,46,sa,75,1.674178958638939,0.9566736906508223,75,105,-0.3999999999999999,0.9999999999999922,True,1.602081537246704,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,4,46,ga,75,1.674178958638939,0.9566736906508223,75,77,-0.026666666666666616,0.9999999999999948,True,5.204559087753296,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,5,47,greedy,75,1.5137284490894145,0.8649876851939512,75,75,0.0,0.9999999999999952,True,0.0016167163848876953,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,5,47,rls,75,1.5137284490894145,0.8649876851939512,75,211,-1.8133333333333335,0.9999999999999895,True,13.268152952194214,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,5,47,sa,75,1.5137284490894145,0.8649876851939512,75,89,-0.18666666666666676,0.9999999999999948,True,1.918720006942749,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,5,47,ga,75,1.5137284490894145,0.8649876851939512,75,83,-0.10666666666666669,0.999999999999995,True,6.018938302993774,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,6,48,greedy,75,1.638101745759434,0.9360581404339623,75,75,0.0,0.9999999999999961,True,0.0015904903411865234,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,6,48,rls,75,1.638101745759434,0.9360581404339623,75,203,-1.7066666666666666,0.9999999999999927,True,13.592194080352783,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,6,48,sa,75,1.638101745759434,0.9360581404339623,75,89,-0.18666666666666676,0.9999999999999961,True,2.6914989948272705,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,6,48,ga,75,1.638101745759434,0.9360581404339623,75,81,-0.08000000000000007,0.9999999999999961,True,7.384446144104004,3.0.0
E29_multi_seed_e04,smoke,5,15,0,42,7,49,greedy,75,0.937657643469487,0.5358043676968497,75,75,0.0,0.9999999999999959,True,0.0020356178283691406,3.0.0
