listing_model,phase,n,n_circuits,mean,median,std,minimum,maximum
LBL,phase1,44,44,0.06993006993006992,0.0,0.2547569618750953,0.0,1.0
LBL,phase2a,44,44,0.04360579473227694,0.0,0.0959319614795805,0.0,0.375
LBL,phase2b,44,44,0.1806753939794221,0.0,0.3052023521129156,0.0,1.0
SHUFFLE,phase1,44,44,0.08958273678193464,0.0,0.24413703345941984,0.0,1.0
SHUFFLE,phase2a,44,44,0.037562273859210606,0.0,0.08107304442139551,0.0,0.3125
SHUFFLE,phase2b,44,44,0.18242364572767383,0.0,0.3052654034004956,0.0,1.0
WCL,phase1,44,44,0.12717255885051165,0.0,0.2610878986278805,0.0,1.0
WCL,phase2a,44,44,0.004745179063360878,0.0,0.018312420664684716,0.0,0.0833333333333333
WCL,phase2b,44,44,0.17950989281392093,0.0,0.3054050399763046,0.0,1.0
