experiment,part,circuit_family,circuit_type,n_qubits,depth,trial,seed,optimizer,gate_count,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,instance_id
10,random,Universal,random,5,20,15,57,greedy_phase1,100,100,100,0.0,0.9999999999999925,False,0.0019998550415039062,
10,random,Universal,random,5,20,15,57,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.011090278625488281,
10,random,Universal,random,5,20,15,57,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.0873112678527832,
10,random,Universal,random,5,20,16,58,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.0020020008087158203,
10,random,Universal,random,5,20,16,58,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.010390996932983398,
10,random,Universal,random,5,20,16,58,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.0842885971069336,
10,random,Universal,random,5,20,17,59,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.002054929733276367,
10,random,Universal,random,5,20,17,59,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999936,False,0.010619163513183594,
10,random,Universal,random,5,20,17,59,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999936,False,0.09016132354736328,
10,random,Universal,random,5,20,18,60,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.0028104782104492188,
10,random,Universal,random,5,20,18,60,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999947,False,0.007071256637573242,
10,random,Universal,random,5,20,18,60,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999947,False,0.0826101303100586,
10,random,Universal,random,5,20,19,61,greedy_phase1,100,100,100,0.0,0.9999999999999931,False,0.002335071563720703,
10,random,Universal,random,5,20,19,61,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.008193731307983398,
10,random,Universal,random,5,20,19,61,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.08408617973327637,
10,random,Universal,random,5,20,20,62,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.0025751590728759766,
10,random,Universal,random,5,20,20,62,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999931,False,0.012908458709716797,
10,random,Universal,random,5,20,20,62,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999931,False,0.0874776840209961,
10,random,Universal,random,5,20,21,63,greedy_phase1,100,100,100,0.0,0.9999999999999942,False,0.0021567344665527344,
10,random,Universal,random,5,20,21,63,commutation_phase2,100,100,100,0.0,0.9999999999999942,False,0.005919694900512695,
10,random,Universal,random,5,20,21,63,hybrid_phase1_2,100,100,100,0.0,0.9999999999999942,False,0.09229803085327148,
10,random,Universal,random,5,20,22,64,greedy_phase1,100,100,100,0.0,0.9999999999999906,False,0.0005068778991699219,
10,random,Universal,random,5,20,22,64,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999913,False,0.012350320816040039,
10,random,Universal,random,5,20,22,64,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999913,False,0.08700728416442871,
10,random,Universal,random,5,20,23,65,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.001999378204345703,
10,random,Universal,random,5,20,23,65,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999944,False,0.007516145706176758,
10,random,Universal,random,5,20,23,65,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999944,False,0.08531975746154785,
10,random,Universal,random,5,20,24,66,greedy_phase1,100,100,100,0.0,0.9999999999999944,False,0.004005908966064453,
10,random,Universal,random,5,20,24,66,commutation_phase2,100,100,100,0.0,0.9999999999999944,False,0.007131814956665039,
10,random,Universal,random,5,20,24,66,hybrid_phase1_2,100,100,100,0.0,0.9999999999999944,False,0.08197784423828125,
10,random,Universal,random,5,20,25,67,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.002814769744873047,
10,random,Universal,random,5,20,25,67,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999922,False,0.01350855827331543,
10,random,Universal,random,5,20,25,67,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999922,False,0.0994710922241211,
10,random,Universal,random,5,20,26,68,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.0023560523986816406,
10,random,Universal,random,5,20,26,68,commutation_phase2,100,100,100,0.0,0.999999999999994,False,0.0059986114501953125,
10,random,Universal,random,5,20,26,68,hybrid_phase1_2,100,100,100,0.0,0.999999999999994,False,0.0796041488647461,
10,random,Universal,random,5,20,27,69,greedy_phase1,100,100,100,0.0,0.999999999999991,False,0.0015134811401367188,
10,random,Universal,random,5,20,27,69,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999918,False,0.01348257064819336,
10,random,Universal,random,5,20,27,69,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999918,False,0.08288383483886719,
10,random,Universal,random,5,20,28,70,greedy_phase1,100,100,100,0.0,0.9999999999999944,False,0.0019996166229248047,
10,random,Universal,random,5,20,28,70,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.013559818267822266,
10,random,Universal,random,5,20,28,70,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.07866859436035156,
10,random,Universal,random,5,20,29,71,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.002901792526245117,
10,random,Universal,random,5,20,29,71,commutation_phase2,100,100,88,0.12,0.9999999999999929,False,0.017992019653320312,
10,random,Universal,random,5,20,29,71,hybrid_phase1_2,100,100,88,0.12,0.9999999999999929,False,0.09302353858947754,
10,random,Universal,random,5,20,30,72,greedy_phase1,100,100,100,0.0,0.9999999999999895,False,0.002276897430419922,
10,random,Universal,random,5,20,30,72,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999908,False,0.013900518417358398,
10,random,Universal,random,5,20,30,72,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999908,False,0.10346817970275879,
10,random,Universal,random,5,20,31,73,greedy_phase1,100,100,100,0.0,0.9999999999999911,False,0.001993894577026367,
10,random,Universal,random,5,20,31,73,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999922,False,0.019413471221923828,
10,random,Universal,random,5,20,31,73,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999922,False,0.09646177291870117,
10,random,Universal,random,5,20,32,74,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0020096302032470703,
10,random,Universal,random,5,20,32,74,commutation_phase2,100,100,96,0.040000000000000036,0.999999999999994,False,0.010998964309692383,
10,random,Universal,random,5,20,32,74,hybrid_phase1_2,100,100,96,0.040000000000000036,0.999999999999994,False,0.08169794082641602,
10,random,Universal,random,5,20,33,75,greedy_phase1,100,100,100,0.0,0.9999999999999911,False,0.0020074844360351562,
10,random,Universal,random,5,20,33,75,commutation_phase2,100,100,100,0.0,0.9999999999999911,False,0.006269931793212891,
