experiment,part,circuit_family,circuit_type,n_qubits,depth,trial,seed,optimizer,gate_count,original_size,optimized_size,reduction,fidelity,success,runtime_seconds
10,random,Universal,random,5,20,17,59,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999936,False,0.017118215560913086
10,random,Universal,random,5,20,17,59,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999936,False,0.11803078651428223
10,random,Universal,random,5,20,18,60,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.004993915557861328
10,random,Universal,random,5,20,18,60,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999947,False,0.012420415878295898
10,random,Universal,random,5,20,18,60,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999947,False,0.10424399375915527
10,random,Universal,random,5,20,19,61,greedy_phase1,100,100,100,0.0,0.9999999999999931,False,0.003124713897705078
10,random,Universal,random,5,20,19,61,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.02853989601135254
10,random,Universal,random,5,20,19,61,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.10106825828552246
10,random,Universal,random,5,20,20,62,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.0010039806365966797
10,random,Universal,random,5,20,20,62,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999931,False,0.020771503448486328
10,random,Universal,random,5,20,20,62,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999931,False,0.1043081283569336
10,random,Universal,random,5,20,21,63,greedy_phase1,100,100,100,0.0,0.9999999999999942,False,0.0030176639556884766
10,random,Universal,random,5,20,21,63,commutation_phase2,100,100,100,0.0,0.9999999999999942,False,0.008145809173583984
10,random,Universal,random,5,20,21,63,hybrid_phase1_2,100,100,100,0.0,0.9999999999999942,False,0.08854532241821289
10,random,Universal,random,5,20,22,64,greedy_phase1,100,100,100,0.0,0.9999999999999906,False,0.0009989738464355469
10,random,Universal,random,5,20,22,64,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999913,False,0.021227598190307617
10,random,Universal,random,5,20,22,64,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999913,False,0.11919832229614258
10,random,Universal,random,5,20,23,65,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.0028243064880371094
10,random,Universal,random,5,20,23,65,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999944,False,0.015915870666503906
10,random,Universal,random,5,20,23,65,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999944,False,0.10590720176696777
10,random,Universal,random,5,20,24,66,greedy_phase1,100,100,100,0.0,0.9999999999999944,False,0.0030155181884765625
10,random,Universal,random,5,20,24,66,commutation_phase2,100,100,100,0.0,0.9999999999999944,False,0.009912967681884766
10,random,Universal,random,5,20,24,66,hybrid_phase1_2,100,100,100,0.0,0.9999999999999944,False,0.09527945518493652
10,random,Universal,random,5,20,25,67,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.0029969215393066406
10,random,Universal,random,5,20,25,67,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999922,False,0.020398855209350586
10,random,Universal,random,5,20,25,67,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999922,False,0.1199042797088623
10,random,Universal,random,5,20,26,68,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.0027360916137695312
10,random,Universal,random,5,20,26,68,commutation_phase2,100,100,100,0.0,0.999999999999994,False,0.011180639266967773
10,random,Universal,random,5,20,26,68,hybrid_phase1_2,100,100,100,0.0,0.999999999999994,False,0.10541415214538574
10,random,Universal,random,5,20,27,69,greedy_phase1,100,100,100,0.0,0.999999999999991,False,0.004002094268798828
10,random,Universal,random,5,20,27,69,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999918,False,0.018476486206054688
10,random,Universal,random,5,20,27,69,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999918,False,0.10072684288024902
10,random,Universal,random,5,20,28,70,greedy_phase1,100,100,100,0.0,0.9999999999999944,False,0.0015513896942138672
10,random,Universal,random,5,20,28,70,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.02357006072998047
10,random,Universal,random,5,20,28,70,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.11502790451049805
10,random,Universal,random,5,20,29,71,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.0029997825622558594
10,random,Universal,random,5,20,29,71,commutation_phase2,100,100,88,0.12,0.9999999999999929,False,0.024816513061523438
10,random,Universal,random,5,20,29,71,hybrid_phase1_2,100,100,88,0.12,0.9999999999999929,False,0.11537957191467285
10,random,Universal,random,5,20,30,72,greedy_phase1,100,100,100,0.0,0.9999999999999895,False,0.0032563209533691406
10,random,Universal,random,5,20,30,72,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999908,False,0.018740415573120117
10,random,Universal,random,5,20,30,72,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999908,False,0.09956669807434082
10,random,Universal,random,5,20,31,73,greedy_phase1,100,100,100,0.0,0.9999999999999911,False,0.008152961730957031
10,random,Universal,random,5,20,31,73,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999922,False,0.031195640563964844
10,random,Universal,random,5,20,31,73,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999922,False,0.1321086883544922
10,random,Universal,random,5,20,32,74,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.003194570541381836
10,random,Universal,random,5,20,32,74,commutation_phase2,100,100,96,0.040000000000000036,0.999999999999994,False,0.015288352966308594
10,random,Universal,random,5,20,32,74,hybrid_phase1_2,100,100,96,0.040000000000000036,0.999999999999994,False,0.10188889503479004
10,random,Universal,random,5,20,33,75,greedy_phase1,100,100,100,0.0,0.9999999999999911,False,0.0040051937103271484
10,random,Universal,random,5,20,33,75,commutation_phase2,100,100,100,0.0,0.9999999999999911,False,0.01051950454711914
10,random,Universal,random,5,20,33,75,hybrid_phase1_2,100,100,100,0.0,0.9999999999999911,False,0.10676407814025879
10,random,Universal,random,5,20,34,76,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.003747701644897461
10,random,Universal,random,5,20,34,76,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.012949466705322266
10,random,Universal,random,5,20,34,76,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999927,False,0.10425400733947754
10,random,Universal,random,5,20,35,77,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0015935897827148438
10,random,Universal,random,5,20,35,77,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999942,False,0.01299595832824707
10,random,Universal,random,5,20,35,77,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999942,False,0.09300374984741211
10,random,Universal,random,5,20,36,78,greedy_phase1,100,100,100,0.0,0.9999999999999916,False,0.003049612045288086
10,random,Universal,random,5,20,36,78,commutation_phase2,100,100,92,0.07999999999999996,0.9999999999999931,False,0.015703916549682617
10,random,Universal,random,5,20,36,78,hybrid_phase1_2,100,100,92,0.07999999999999996,0.9999999999999931,False,0.10107898712158203
10,random,Universal,random,5,20,37,79,greedy_phase1,100,100,100,0.0,0.9999999999999903,False,0.0028717517852783203
10,random,Universal,random,5,20,37,79,commutation_phase2,100,100,96,0.040000000000000036,0.999999999999991,False,0.014476537704467773
10,random,Universal,random,5,20,37,79,hybrid_phase1_2,100,100,96,0.040000000000000036,0.999999999999991,False,0.10522842407226562
10,random,Universal,random,5,20,38,80,greedy_phase1,100,100,100,0.0,0.9999999999999922,False,0.002171039581298828
10,random,Universal,random,5,20,38,80,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.02375483512878418
10,random,Universal,random,5,20,38,80,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999931,False,0.11260676383972168
10,random,Universal,random,5,20,39,81,greedy_phase1,100,100,100,0.0,0.9999999999999925,False,0.002996206283569336
10,random,Universal,random,5,20,39,81,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999929,False,0.015243768692016602
10,random,Universal,random,5,20,39,81,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999929,False,0.09873318672180176
10,random,Universal,random,5,20,40,82,greedy_phase1,100,100,100,0.0,0.9999999999999936,False,0.0030012130737304688
10,random,Universal,random,5,20,40,82,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.013279199600219727
10,random,Universal,random,5,20,40,82,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999936,False,0.10694217681884766
10,random,Universal,random,5,20,41,83,greedy_phase1,100,100,100,0.0,0.9999999999999901,False,0.0029959678649902344
10,random,Universal,random,5,20,41,83,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999906,False,0.016586780548095703
10,random,Universal,random,5,20,41,83,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999906,False,0.11017942428588867
10,random,Universal,random,5,20,42,84,greedy_phase1,100,100,100,0.0,0.999999999999991,False,0.003954410552978516
10,random,Universal,random,5,20,42,84,commutation_phase2,100,100,94,0.06000000000000005,0.999999999999992,False,0.034452199935913086
10,random,Universal,random,5,20,42,84,hybrid_phase1_2,100,100,94,0.06000000000000005,0.999999999999992,False,0.11294889450073242
10,random,Universal,random,5,20,43,85,greedy_phase1,100,100,100,0.0,0.999999999999992,False,0.004010200500488281
10,random,Universal,random,5,20,43,85,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.01176309585571289
10,random,Universal,random,5,20,43,85,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.11838006973266602
