optimizer,mean_reduction,std_reduction,mean_fidelity,std_fidelity,success_rate,mean_runtime,std_runtime,n_trials
GENETIC_ALGORITHM,0.009999999999999976,0.008341746594772744,0.9995883605245475,0.0012068162586081127,0.0,1.8615555167198181,0.22113308535048443,100
GREEDY,0.14359999999999995,0.05941291526731513,1.0,0.0,0.2,0.003507642745971633,0.0013121219062906984,100
RANDOM_LOCAL_SEARCH,0.10159999999999997,0.052168422749887686,0.996689521224704,0.003319952645868526,0.04,7.829372951984405,0.9567806791103156,100
SIMULATED_ANNEALING,0.001999999999999996,0.006666666666666656,0.999929110498701,0.0004046377033858876,0.0,1.4129971981048584,0.1655941309981515,100
