entanglement_density,optimizer,success_rate,mean_reduction,mean_fidelity,mean_runtime,std_success,std_reduction,n_trials
0.0,GREEDY,0.0,0.05944444444444442,1.0,0.006608923276265413,0.0,0.030851061487272076,30
0.0,SIMULATED_ANNEALING,0.0,0.0005555555555555534,0.9999999999999879,2.6639252344767255,0.0,0.002114234430853845,30
0.05,GREEDY,0.0,0.05944444444444442,1.0,0.00628479321797684,0.0,0.028258295948457312,30
0.05,SIMULATED_ANNEALING,0.0,0.00111111111111111,0.9999359643889899,2.671441650390625,0.0,0.004761220531028048,30
0.1,GREEDY,0.0,0.06499999999999999,1.0,0.005863261222839307,0.0,0.03565210788908371,30
0.1,SIMULATED_ANNEALING,0.0,0.0002777777777777767,0.9999984279418942,2.780576769510905,0.0,0.0015214515486254552,30
0.15,GREEDY,0.0,0.07777777777777774,1.0,0.006067458788553827,0.0,0.034556116096031396,30
0.15,SIMULATED_ANNEALING,0.0,0.0005555555555555534,0.9999999960569401,2.668671226501465,0.0,0.002114234430853845,30
0.2,GREEDY,0.0,0.08999999999999994,1.0,0.005695605278015087,0.0,0.028230034819326448,30
0.2,SIMULATED_ANNEALING,0.0,0.0002777777777777767,0.9999999999999896,2.4658363024393717,0.0,0.0015214515486254552,30
0.25,GREEDY,0.0,0.11499999999999996,1.0,0.005636310577392533,0.0,0.042288463867173165,30
0.25,SIMULATED_ANNEALING,0.0,0.0002777777777777767,0.9999999999999906,2.7419512987136843,0.0,0.0015214515486254552,30
0.3,GREEDY,0.0,0.13444444444444442,1.0,0.005283697446187297,0.0,0.03686293690818471,30
0.3,SIMULATED_ANNEALING,0.0,0.0002777777777777767,0.999999999999991,2.342918554941813,0.0,0.0015214515486254554,30
0.35,GREEDY,0.16666666666666666,0.16777777777777775,1.0,0.00474529266357418,0.3790490217894517,0.05604003312721278,30
0.35,SIMULATED_ANNEALING,0.0,0.0005555555555555534,0.9999266485187419,2.23806844552358,0.0,0.002114234430853845,30
0.4,GREEDY,0.4666666666666667,0.19888888888888887,1.0,0.00478346347808835,0.5074162634049248,0.06520426691567217,30
0.4,SIMULATED_ANNEALING,0.0,0.0008333333333333334,0.9998888115386755,2.16257004737854,0.0,0.0033548158328037428,30
0.45,GREEDY,0.7333333333333333,0.24277777777777773,1.0,0.004574545224507614,0.44977644510880366,0.061538906693546634,30
0.45,SIMULATED_ANNEALING,0.0,0.0011111111111111068,0.9999809496750108,2.170757508277893,0.0,0.002881215863681325,30
0.5,GREEDY,0.9,0.2711111111111111,1.0,0.004531892140706354,0.3051285766293647,0.056380843281599806,30
0.5,SIMULATED_ANNEALING,0.0,0.0002777777777777767,0.9999999999999928,2.1705207586288453,0.0,0.0015214515486254552,30
0.55,GREEDY,1.0,0.31111111111111106,1.0,0.00431962013244625,0.0,0.053486370472383596,30
0.55,SIMULATED_ANNEALING,0.0,0.0013888888888888868,0.9999999999999932,2.101615222295125,0.0,0.0038427753114784486,30
0.6000000000000001,GREEDY,1.0,0.3466666666666667,1.0,0.003996086120605427,0.0,0.050172117548598086,30
0.6000000000000001,SIMULATED_ANNEALING,0.0,0.0019444444444444435,0.9999443622636847,2.152073947588603,0.0,0.004736006476299464,30
0.65,GREEDY,1.0,0.38555555555555554,1.0,0.0038026412328083935,0.0,0.06216609400576482,30
0.65,SIMULATED_ANNEALING,0.0,0.00083333333333333,0.9999999999999942,2.091283098856608,0.0,0.002542738138578029,30
0.7000000000000001,GREEDY,1.0,0.42277777777777775,1.0,0.0034786462783813065,0.0,0.05132036956273984,30
0.7000000000000001,SIMULATED_ANNEALING,0.0,0.0013888888888888835,0.9999999999999951,2.0317762454350787,0.0,0.0031587418482454184,30
0.75,GREEDY,1.0,0.4766666666666666,1.0,0.00327693621317541,0.0,0.06152593447503926,30
0.75,SIMULATED_ANNEALING,0.0,0.0005555555555555534,0.9999947134092823,2.0311479330062867,0.0,0.002114234430853845,30
0.8,GREEDY,1.0,0.5255555555555556,1.0,0.0029177665710448763,0.0,0.05023571513725285,30
0.8,SIMULATED_ANNEALING,0.0,0.0013888888888888868,0.9999386607733424,2.0765659252802533,0.0,0.0038427753114784486,30
0.8500000000000001,GREEDY,1.0,0.5494444444444445,1.0,0.0031049887339273568,0.0,0.04804279169627743,30
0.8500000000000001,SIMULATED_ANNEALING,0.0,0.00166666666666666,0.9999999999999964,2.194969828923543,0.0,0.0033903175181040383,30
0.9,GREEDY,1.0,0.6016666666666667,1.0,0.0026466369628905867,0.0,0.037740290167349144,30
0.9,SIMULATED_ANNEALING,0.0,0.004444444444444441,0.9996335556864749,2.2117976347605386,0.0,0.009472012952598917,30
0.95,GREEDY,1.0,0.6366666666666667,1.0,0.00251797835032141,0.0,0.028500184848496497,30
0.95,SIMULATED_ANNEALING,0.0,0.02666666666666666,0.9945271374162246,2.1475135962168377,0.0,0.08136762043449723,30
1.0,GREEDY,1.0,0.6666666666666667,1.0,0.0021325190862019365,0.0,0.0,30
1.0,SIMULATED_ANNEALING,0.06666666666666667,0.26194444444444437,0.9676123777851217,2.1010624408721923,0.2537081317024624,0.14348367104643098,30
