family,seed,n_qubits,depth,original,old_optimized,new_optimized,old_reduction,new_reduction,old_fidelity,new_fidelity,improvements_old,improvements_new
clifford,13,5,15,105,75,105,0.2857142857142857,0.0,True,0.9999999999999881,15,0
clifford,14,5,15,105,75,105,0.2857142857142857,0.0,True,0.9999999999999895,15,0
clifford,15,5,15,105,75,105,0.2857142857142857,0.0,True,0.9999999999999892,15,0
clifford,16,5,15,105,79,105,0.24761904761904763,0.0,True,0.9999999999999892,13,0
clifford,17,5,15,105,69,105,0.34285714285714286,0.0,True,0.9999999999999865,18,0
clifford,18,5,15,105,77,105,0.2666666666666667,0.0,True,0.9999999999999881,14,0
clifford,19,5,15,105,69,105,0.34285714285714286,0.0,True,0.9999999999999877,18,0
clifford,20,5,15,105,73,105,0.3047619047619048,0.0,True,0.9999999999999881,16,0
clifford,21,5,15,105,79,105,0.24761904761904763,0.0,True,0.9999999999999895,13,0
clifford,22,5,15,105,75,105,0.2857142857142857,0.0,True,0.9999999999999881,15,0
clifford,23,5,15,105,71,105,0.32380952380952377,0.0,True,0.9999999999999879,17,0
clifford,24,5,15,105,83,105,0.20952380952380956,0.0,True,0.9999999999999899,11,0
clifford,25,5,15,105,83,105,0.20952380952380956,0.0,True,0.9999999999999899,11,0
clifford,26,5,15,105,77,105,0.2666666666666667,0.0,True,0.9999999999999899,14,0
clifford,27,5,15,105,65,105,0.38095238095238093,0.0,True,0.9999999999999877,20,0
clifford,28,5,15,105,81,105,0.22857142857142854,0.0,True,0.9999999999999895,12,0
clifford,29,5,15,105,75,105,0.2857142857142857,0.0,True,0.9999999999999892,15,0
clifford,30,5,15,105,75,105,0.2857142857142857,0.0,True,0.9999999999999913,15,0
clifford,31,5,15,105,67,105,0.36190476190476195,0.0,True,0.9999999999999881,19,0
clifford,32,5,15,105,85,105,0.19047619047619047,0.0,True,0.9999999999999899,10,0
clifford,33,5,15,105,81,105,0.22857142857142854,0.0,True,0.9999999999999899,12,0
clifford,34,5,15,105,65,105,0.38095238095238093,0.0,True,0.9999999999999865,20,0
clifford,35,5,15,105,73,105,0.3047619047619048,0.0,True,0.9999999999999877,16,0
clifford,36,5,15,105,77,105,0.2666666666666667,0.0,True,0.9999999999999892,14,0
clifford,37,5,15,105,77,105,0.2666666666666667,0.0,True,0.9999999999999897,14,0
clifford,38,5,15,105,77,105,0.2666666666666667,0.0,True,0.9999999999999892,14,0
clifford,39,5,15,105,73,105,0.3047619047619048,0.0,True,0.9999999999999867,16,0
clifford,40,5,15,105,67,105,0.36190476190476195,0.0,True,0.9999999999999865,19,0
clifford,41,5,15,105,93,105,0.11428571428571432,0.0,True,0.9999999999999916,6,0
clifford,42,5,15,105,79,105,0.24761904761904763,0.0,True,0.9999999999999892,13,0
clifford,43,5,15,105,73,105,0.3047619047619048,0.0,True,0.9999999999999877,16,0
clifford,44,5,15,105,79,105,0.24761904761904763,0.0,True,0.9999999999999877,13,0
clifford,45,5,15,105,73,105,0.3047619047619048,0.0,True,0.9999999999999892,16,0
clifford,46,5,15,105,89,105,0.1523809523809524,0.0,True,0.9999999999999913,8,0
clifford,47,5,15,105,83,105,0.20952380952380956,0.0,True,0.9999999999999895,11,0
clifford,48,5,15,105,79,105,0.24761904761904763,0.0,True,0.9999999999999895,13,0
clifford,49,5,15,105,71,105,0.32380952380952377,0.0,True,0.9999999999999862,17,0
