n_qubits,depth,success_rate,mean_reduction,mean_entropy,n_trials
3,1,0.16,0.10666666666666667,0.0,50
3,2,0.28,0.10666666666666666,0.4393651570128801,50
3,3,0.36,0.09555555555555556,0.4684650102461782,50
3,4,0.16,0.09999999999999998,0.4606307572498518,50
3,5,0.16,0.10266666666666666,0.4222957826866359,50
3,6,0.2,0.10111111111111111,0.7583571385661052,50
3,7,0.1,0.10666666666666665,0.6649554182600669,50
3,8,0.16,0.10416666666666664,0.8769047510968773,50
3,9,0.16,0.10296296296296294,0.928111823396933,50
3,10,0.1,0.1046666666666666,0.5508170972253369,50
3,11,0.1,0.10363636363636358,0.5779375261078197,50
3,12,0.02,0.09722222222222218,0.8733567708855943,50
3,13,0.1,0.09846153846153843,0.6526304352113871,50
3,14,0.08,0.10095238095238095,0.9599746397124395,50
3,15,0.04,0.09955555555555554,0.8613874095192903,50
3,16,0.08,0.10124999999999997,0.8712065473830638,50
3,17,0.06,0.10392156862745094,0.802258119241947,50
3,18,0.12,0.10814814814814812,1.1128111943001222,50
3,19,0.04,0.10807017543859647,1.123271570206936,50
3,20,0.04,0.1073333333333333,1.0474098871152386,50
3,21,0.08,0.10698412698412696,1.0079669658527826,50
3,22,0.08,0.10969696969696965,0.8430162408633644,50
3,23,0.08,0.11130434782608692,0.7408774007321302,50
3,24,0.1,0.1108333333333333,0.872228183046134,50
3,25,0.06,0.11146666666666663,0.9093619311740683,50
3,26,0.08,0.1092307692307692,0.8557941723507416,50
3,27,0.06,0.10864197530864196,0.9117688308144966,50
3,28,0.06,0.10833333333333331,0.8308715251437491,50
3,29,0.0,0.10919540229885055,0.8099815014777431,50
3,30,0.02,0.10999999999999996,0.8039678228869672,50
4,1,0.18,0.09,1.1959458947575691e-16,50
4,2,0.44,0.125,1.9220559022889472e-17,50
4,3,0.2,0.13999999999999996,0.19911336621412518,50
4,4,0.3,0.14,0.5426157268206636,50
4,5,0.12,0.13199999999999992,0.20178733250547665,50
4,6,0.28,0.13999999999999999,0.36250468153614723,50
4,7,0.3,0.1357142857142857,0.3869886902311393,50
4,8,0.2,0.13125,0.5740837136323846,50
4,9,0.24,0.12888888888888886,0.6856167509686847,50
4,10,0.18,0.12699999999999997,0.6902171898049246,50
4,11,0.22,0.1254545454545454,0.3583387766366807,50
4,12,0.22,0.12333333333333331,0.4849008946002773,50
4,13,0.12,0.12307692307692303,0.4939451701786593,50
4,14,0.14,0.125,0.5883178030306436,50
4,15,0.1,0.12533333333333327,0.4872315540615273,50
4,16,0.12,0.125625,0.6310173764191733,50
4,17,0.16,0.12411764705882351,0.5905135001360334,50
4,18,0.1,0.1244444444444444,0.707183414522631,50
4,19,0.1,0.12421052631578944,0.7361695493129193,50
4,20,0.06,0.12499999999999994,0.7308426187909055,50
4,21,0.08,0.12428571428571428,0.8137570922026172,50
4,22,0.1,0.12409090909090904,0.7265295739400434,50
4,23,0.06,0.1230434782608695,0.7529462828296062,50
4,24,0.08,0.12333333333333328,0.7531219460549924,50
4,25,0.02,0.12159999999999997,0.699206096048399,50
4,26,0.04,0.11999999999999997,0.7517193636663917,50
4,27,0.04,0.12074074074074069,0.8130605265858499,50
4,28,0.02,0.12071428571428572,0.7982998945130839,50
4,29,0.02,0.12068965517241376,0.8889028404910619,50
4,30,0.0,0.12066666666666663,0.8371825563007032,50
5,1,0.28,0.12,-8.786541267606628e-17,50
5,2,0.14,0.12999999999999998,6.205494770247181e-16,50
5,3,0.24,0.12666666666666665,4.795987108568618e-16,50
5,4,0.14,0.13299999999999992,0.23350245247311416,50
5,5,0.24,0.13359999999999997,0.12562475085060204,50
