n_qubits,mean_reduction,std_reduction,mean_success,mean_entropy,mean_fidelity,n_trials
3,0.10517892802279992,0.08879525409573982,0.10466666666666667,0.7679327203255627,1.0,1500
4,0.12515379036284333,0.08092696422565189,0.14133333333333334,0.5762038094011915,1.0,1500
5,0.13894686671144726,0.07612978134028736,0.13266666666666665,0.6035744668505572,1.0,1500
6,0.1347993299061255,0.06673583290397311,0.10266666666666667,0.4007793492347854,1.0,1500
7,0.1446708865578853,0.06472470857127056,0.132,0.42092463710683253,1.0,1500
8,0.1495574794673753,0.06158796219505268,0.17333333333333334,0.38540979166204314,1.0,1500
9,0.15189498803136023,0.059848158648627144,0.14333333333333334,0.3202200394528535,1.0,1500
10,0.15555673007214177,0.05972845071696241,0.14133333333333334,0.302642047867668,1.0,1500
