term,estimate,standard_error,ci95_lower,ci95_upper,p_value_wald
Intercept,9.42227931077116,4.7683463996414535,0.07649210166267473,18.768066519879646,0.048154140050803464
listing_wcl,2.6555183141347007,1.1865037063934503,0.33001378208025134,4.98102284618915,0.025214294602691412
templates,4.448131980699361,0.49369919490965175,3.480499339480023,5.415764621918699,2.0642889724552301e-19
listing_wcl:templates,-0.3797665216969797,0.6981960971739076,-1.7482057263042665,0.9886726829103072,0.5864928780546166
